Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 8,8:40PM ET,boxscore,W,,1-0,,Carolina Panthers,21.0,20.0,21.0,307.0,159.0,148.0,3.0,21.0,333.0,176.0,157.0,1.0,4.46,-6.53,3.92
2,Sun,September 18,4:25PM ET,boxscore,W,,2-0,,Indianapolis Colts,34.0,20.0,24.0,400.0,266.0,134.0,1.0,19.0,253.0,170.0,83.0,2.0,12.3,9.66,-9.6
3,Sun,September 25,1:02PM ET,boxscore,W,,3-0,@,Cincinnati Bengals,29.0,17.0,21.0,355.0,303.0,52.0,1.0,20.0,332.0,189.0,143.0,2.0,6.41,-0.55,0.45
4,Sun,October 2,4:05PM ET,boxscore,W,,4-0,@,Tampa Bay Buccaneers,27.0,7.0,22.0,307.0,218.0,89.0,,15.0,215.0,143.0,72.0,3.0,2.97,20.49,-2.33
5,Sun,October 9,4:05PM ET,boxscore,L,,4-1,,Atlanta Falcons,16.0,23.0,18.0,267.0,183.0,84.0,1.0,19.0,372.0,250.0,122.0,1.0,-1.15,-1.87,-5.74
6,Thu,October 13,8:25PM ET,boxscore,L,,4-2,@,San Diego Chargers,13.0,21.0,16.0,304.0,220.0,84.0,2.0,16.0,265.0,166.0,99.0,2.0,-15.82,0.16,3.49
7,Mon,October 24,8:30PM ET,boxscore,W,,5-2,,Houston Texans,27.0,9.0,19.0,347.0,157.0,190.0,,14.0,271.0,131.0,140.0,2.0,5.96,16.57,-2.39
8,Sun,October 30,4:05PM ET,boxscore,W,,6-2,,San Diego Chargers,27.0,19.0,15.0,324.0,267.0,57.0,3.0,21.0,369.0,246.0,123.0,3.0,-15.82,23.84,1.58
9,Sun,November 6,8:30PM ET,boxscore,L,,6-3,@,Oakland Raiders,20.0,30.0,13.0,299.0,266.0,33.0,2.0,30.0,397.0,179.0,218.0,,-1.52,-12.98,4.65
10,Sun,November 13,1:00PM ET,boxscore,W,,7-3,@,New Orleans Saints,25.0,23.0,24.0,337.0,234.0,103.0,2.0,19.0,373.0,293.0,80.0,4.0,-1.05,-0.99,2.07
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 27,8:30PM ET,boxscore,L,OT,7-4,,Kansas City Chiefs,27.0,30.0,21.0,464.0,340.0,124.0,1.0,23.0,273.0,190.0,83.0,,11.68,3.9,-18.09
13,Sun,December 4,1:00PM ET,boxscore,W,,8-4,@,Jacksonville Jaguars,20.0,10.0,10.0,206.0,102.0,104.0,,19.0,333.0,179.0,154.0,3.0,-11.61,22.05,-0.9
14,Sun,December 11,1:00PM ET,boxscore,L,,8-5,@,Tennessee Titans,10.0,13.0,19.0,348.0,330.0,18.0,2.0,16.0,253.0,73.0,180.0,,-7.72,5.95,-0.41
15,Sun,December 18,4:25PM ET,boxscore,L,,8-6,,New England Patriots,3.0,16.0,15.0,309.0,251.0,58.0,3.0,20.0,313.0,177.0,136.0,,-14.82,4.97,-2.33
16,Sun,December 25,8:30PM ET,boxscore,L,,8-7,@,Kansas City Chiefs,10.0,33.0,14.0,246.0,183.0,63.0,3.0,23.0,484.0,246.0,238.0,1.0,-15.96,-15.15,7.73
17,Sun,January 1,4:25PM ET,boxscore,W,,9-7,,Oakland Raiders,24.0,6.0,18.0,349.0,206.0,143.0,1.0,11.0,221.0,164.0,57.0,3.0,4.82,22.88,-8.73
