Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Chris Harris Jr.,30.0,LCB,16,16,1,11,0,11,6,1,0,0,0,0,0.0,56,44,12,1,0,0,
2.0,Shelby Harris,28.0,LDE,16,16,0,0,0,0,9,1,0,0,0,0,6.0,49,28,21,8,6,0,
3.0,Phillip Lindsay,25.0,RB,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
4.0,Connor McGovern,26.0,C,16,16,0,0,0,0,0,0,1,0,-5,0,0.0,0,0,0,0,0,0,
5.0,Justin Simmons,26.0,FS,16,16,4,30,0,17,15,0,1,0,0,0,0.0,93,65,28,2,0,0,AP-2
6.0,Von Miller,30.0,ROLB,15,15,0,0,0,0,2,0,0,0,0,0,8.0,46,33,13,10,20,0,PB
7.0,Todd Davis,27.0,RILB,14,14,0,0,0,0,1,0,0,0,0,0,0.0,134,78,56,6,1,0,
8.0,Courtland Sutton,24.0,WR,16,14,0,0,0,0,0,0,2,1,2,0,0.0,0,0,0,0,0,0,PB
9.0,Kareem Jackson,31.0,SS,13,13,2,28,0,24,10,1,0,0,70,1,0.0,71,48,23,4,0,0,
10.0,Alexander Johnson,28.0,LILB,15,12,1,0,0,0,3,2,0,1,0,0,1.5,93,51,42,5,4,0,
11.0,Ronald Leary,30.0,RG,12,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
12.0,Elijah Wilkinson,24.0,RT,15,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
13.0,Derek Wolfe,29.0,RDE,12,12,0,0,0,0,1,1,0,0,0,0,7.0,34,23,11,8,12,0,
14.0,Noah Fant,22.0,TE,16,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
15.0,Joe Flacco,34.0,QB,8,8,0,0,0,0,0,0,8,2,0,0,0.0,0,0,0,0,0,0,
16.0,Malik Reed,23.0,LOLB,15,8,0,0,0,0,1,0,0,1,0,0,2.0,27,16,11,4,5,0,
17.0,Isaac Yiadom,23.0,RCB,16,8,0,0,0,0,4,0,0,0,0,0,0.0,43,32,11,1,0,0,
18.0,Will Parks,25.0,DB,14,7,1,11,0,11,2,1,0,0,0,0,1.0,35,26,9,1,2,0,
19.0,Mike Purcell,28.0,NT,13,7,0,0,0,0,0,0,0,0,0,0,0.0,48,28,20,8,2,0,
20.0,Andrew Beck,23.0,TE,16,6,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
21.0,Davontae Harris,24.0,RCB,16,6,0,0,0,0,3,0,0,0,0,0,0.0,35,30,5,0,0,0,
22.0,Jeremiah Attaochu,26.0,LOLB,12,5,0,0,0,0,0,0,0,1,1,0,3.5,21,14,7,5,5,0,
23.0,Troy Fumagalli,24.0,TE,11,5,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
24.0,Drew Lock,23.0,QB,5,5,0,0,0,0,0,0,3,0,-4,0,0.0,0,0,0,0,0,0,
25.0,Bradley Chubb,23.0,LB,4,4,0,0,0,0,1,1,0,0,0,0,1.0,21,16,5,5,6,0,
26.0,Duke Dawson,23.0,DB,14,3,0,0,0,0,2,0,0,1,0,0,0.0,19,15,4,0,0,0,
27.0,Adam Gotsis,27.0,DE,9,3,0,0,0,0,2,0,0,0,0,0,0.0,16,11,5,1,0,0,
28.0,Andy Janovich,26.0,RB,7,3,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
29.0,Josey Jewell,25.0,LB,15,3,0,0,0,0,0,0,0,2,0,0,1.5,38,21,17,1,2,0,
30.0,De'Vante Bausby,26.0,DB,5,2,0,0,0,0,3,0,0,0,0,0,0.0,13,9,4,0,0,0,
31.0,Trey Marshall,23.0,DB,16,2,0,0,0,0,0,1,0,2,12,0,0.0,25,19,6,0,0,0,
32.0,Corey Nelson,27.0,LB,7,2,0,0,0,0,0,0,0,0,0,0,0.0,10,4,6,0,0,0,
33.0,Tim Patrick,26.0,WR,8,2,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
34.0,Diontae Spencer,27.0,WR,16,2,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
35.0,Fred Brown,26.0,WR,13,1,0,0,0,0,0,0,1,0,0,0,0.0,5,3,2,0,0,0,
36.0,Dre'Mont Jones,22.0,DT,14,1,1,7,0,7,2,0,0,0,0,0,3.5,14,8,6,3,6,0,
37.0,DeMarcus Walker,25.0,DE,10,1,0,0,0,0,1,0,0,0,0,0,4.0,22,13,9,5,5,0,
38.0,Devontae Booker,27.0,RB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,
39.0,Royce Freeman,23.0,RB,16,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
40.0,Ahmad Gooden,24.0,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,
41.0,Jonathan Harris,23.0,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,0,0,
42.0,Justin Hollins,23.0,LB,15,0,0,0,0,0,2,0,0,0,0,0,1.0,21,12,9,1,2,0,
43.0,Joseph Jones,25.0,LB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,0,
44.0,Casey Kreiter,29.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
45.0,Brandon McManus,28.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
46.0,Kyle Peko,26.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
47.0,Coty Sensabaugh,31.0,DB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
48.0,Deyon Sizer,23.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
49.0,Colby Wadman,24.0,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
50.0,Josh Watson,23.0,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
,Team Totals,,,16,16,10,87,0,24,70,9,21,19,76,1,40.0,1020,667,353,79,79,0,
