Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Allen Aldridge,29.0,LLB,16,16,0,0,0,0,0.0,0,0,0,0,0,1.0,47.0,32.0,15.0,4.0,0,
2.0,Eric Beverly,27.0,C,16,16,0,0,0,0,,0,2,0,-21,0,0.0,,,,,0,
3.0,Chris Claiborne,23.0,MLB,16,16,2,11,0,6,6.0,1,0,1,0,0,4.0,112.0,72.0,40.0,3.0,0,
4.0,Todd Lyght,32.0,LCB,16,16,4,72,1,59,9.0,0,0,1,0,0,0.0,59.0,53.0,6.0,2.0,0,
5.0,Johnnie Morton,30.0,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Robert Porcher,32.0,LDE,16,16,0,0,0,0,3.0,2,0,0,0,0,11.0,52.0,45.0,7.0,17.0,0,PB
7.0,Shaun Rogers,22.0,LDT,16,16,0,0,0,0,4.0,1,0,0,0,0,3.0,81.0,61.0,20.0,15.0,0,AP DRoY-3
8.0,Tracy Scroggins,32.0,RDE,16,16,0,0,0,0,1.0,0,0,0,0,0,2.0,29.0,21.0,8.0,6.0,0,
9.0,Luther Elliss,28.0,RDT,14,13,0,0,0,0,4.0,1,0,0,0,0,0.0,31.0,26.0,5.0,0.0,0,
10.0,Cory Schlesinger,29.0,FB,16,13,0,0,0,0,0.0,0,1,1,0,0,0.0,6.0,4.0,2.0,0.0,0,
11.0,Lamar Campbell,25.0,SS/FS,12,12,0,0,0,0,4.0,0,0,1,0,0,1.0,50.0,35.0,15.0,2.0,0,
12.0,Terry Fair,25.0,RCB,12,12,2,29,1,26,12.0,0,0,0,0,0,0.0,43.0,37.0,6.0,0.0,0,
13.0,Matt Joyce,29.0,RT,16,12,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
14.0,Barrett Green,24.0,RLB,14,10,0,0,0,0,3.0,1,0,0,0,0,1.0,79.0,55.0,24.0,5.0,0,
15.0,Kurt Schulz,33.0,FS/SS,11,10,2,22,0,19,5.0,0,0,0,0,0,0.0,55.0,37.0,18.0,1.0,0,
16.0,Charlie Batch,27.0,QB,10,9,0,0,0,0,0.0,0,6,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
17.0,Ron Rice,29.0,SS,8,8,2,9,0,8,5.0,0,0,0,0,0,1.0,40.0,24.0,16.0,1.0,0,
18.0,Larry Foster,25.0,WR,13,5,0,0,0,0,0.0,0,1,1,0,0,0.0,9.0,8.0,1.0,0.0,0,
19.0,Stephen Boyd,29.0,LB,4,4,0,0,0,0,0.0,1,0,0,0,0,1.0,23.0,17.0,6.0,1.0,0,
20.0,Germane Crowell,25.0,WR,5,4,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
21.0,Ty Detmer,34.0,QB,4,4,0,0,0,0,0.0,0,3,1,0,0,0.0,,,,,0,
22.0,Reuben Droughns,23.0,RB,9,3,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
23.0,Mike McMahon,22.0,QB,8,3,0,0,0,0,0.0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
24.0,Lamont Warren,28.0,RB,16,3,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
25.0,Bryant Westbrook,27.0,DB,10,3,1,0,0,0,4.0,0,0,0,0,0,0.0,20.0,19.0,1.0,0.0,0,
26.0,Travis Kirschke,27.0,DE,16,2,0,0,0,0,0.0,0,0,0,0,0,0.0,20.0,12.0,8.0,2.0,0,
27.0,Tommy Bennett,28.0,DB,8,1,0,0,0,0,2.0,0,0,0,0,0,0.0,27.0,20.0,7.0,0.0,0,
28.0,Marty Carter,32.0,DB,4,1,1,0,0,0,1.0,0,0,0,0,0,0.0,8.0,6.0,2.0,0.0,0,
29.0,Desmond Howard,31.0,WR,14,1,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
30.0,Chidi Iwuoma,23.0,DB,13,1,0,0,0,0,2.0,0,0,0,0,0,0.0,12.0,11.0,1.0,0.0,0,
