Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Shaun McDonald,26.0,WR,16,7,4,2,0,1,50.0,9.0,0.5,0.1,0.3,127,79,943,11.9,6,47,53.5,49.0,4.9,58.9,62.2,7.4,83,11.4,945,6,3,
2.0,Roy Williams,26.0,WR,12,12,2,1,0,1,50.0,9.0,0.5,0.1,0.2,105,64,838,13.1,5,34,51.4,91.0,5.3,69.8,61.0,8.0,66,12.7,839,5,2,
3.0,Calvin Johnson,22.0,WR,15,10,4,52,1,3,75.0,32.0,13.0,3.5,0.3,93,48,756,15.8,4,38,47.3,49.0,3.2,50.4,51.6,8.1,52,15.5,808,5,1,
4.0,Kevin Jones,25.0,RB,13,10,153,581,8,35,45.1,34.0,3.8,44.7,11.8,44,32,197,6.2,0,7,43.2,16.0,2.5,15.2,72.7,4.5,185,4.2,778,8,2,
5.0,Mike Furrey,30.0,WR,16,10,0,0,0,0,,,,0.0,0.0,91,61,664,10.9,1,37,58.2,49.0,3.8,41.5,67.0,7.3,61,10.9,664,1,0,
6.0,T.J. Duckett,26.0,RB,12,1,65,335,3,16,40.0,53.0,5.2,27.9,5.4,7,4,54,13.5,0,4,57.1,22.0,0.3,4.5,57.1,7.7,69,5.6,389,3,1,
7.0,Sean McHugh,25.0,TE,15,12,0,0,0,0,,,,0.0,0.0,29,17,252,14.8,0,13,48.3,46.0,1.1,16.8,58.6,8.7,17,14.8,252,0,0,
8.0,Tatum Bell,26.0,RB,5,5,44,182,1,7,45.5,24.0,4.1,36.4,8.8,21,14,63,4.5,0,2,23.8,15.0,2.8,12.6,66.7,3.0,58,4.2,245,1,1,
9.0,Aveion Cason,28.0,RB,12,0,11,38,0,2,45.5,12.0,3.5,3.2,0.9,16,14,129,9.2,0,5,62.5,20.0,1.2,10.8,87.5,8.1,25,6.7,167,0,2,
10.0,Troy Walters,31.0,WR,13,0,0,0,0,0,,,,0.0,0.0,10,9,101,11.2,1,5,70.0,21.0,0.7,7.8,90.0,10.1,9,11.2,101,1,1,
11.0,Casey Fitzsimmons,27.0,FB,16,5,0,0,0,0,,,,0.0,0.0,10,8,85,10.6,1,6,80.0,22.0,0.5,5.3,80.0,8.5,8,10.6,85,1,0,
12.0,Jon Kitna,35.0,QB,16,16,25,63,0,4,32.0,11.0,2.5,3.9,1.6,1,1,9,9.0,0,0,100.0,9.0,0.1,0.6,100.0,9.0,26,2.8,72,0,17,
13.0,Brian Calhoun,23.0,RB,4,0,7,35,0,2,42.9,17.0,5.0,8.8,1.8,5,5,35,7.0,0,1,80.0,11.0,1.3,8.8,100.0,7.0,12,5.8,70,0,0,
14.0,Brandon Middleton,26.0,WR,5,0,0,0,0,0,,,,0.0,0.0,10,8,70,8.8,1,6,70.0,17.0,1.6,14.0,80.0,7.0,8,8.8,70,1,0,
15.0,Jon Bradley,26.0,FB,15,6,5,9,0,3,60.0,3.0,1.8,0.6,0.3,4,2,10,5.0,0,0,25.0,8.0,0.1,0.7,50.0,2.5,7,2.7,19,0,1,
16.0,John Owens,27.0,TE,7,0,0,0,0,0,,,,0.0,0.0,2,1,9,9.0,0,0,0.0,9.0,0.1,1.3,50.0,4.5,1,9.0,9,0,0,
17.0,Dan Campbell,31.0,TE,2,1,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,0,0,0.0,1.0,0.5,0.5,100.0,1.0,1,1.0,1,0,0,
18.0,J.T. O'Sullivan,28.0,QB,4,0,4,-10,0,0,25.0,2.0,-2.5,-2.5,1.0,0,0,0,,0,0,,,0.0,0.0,,,4,-2.5,-10,0,3,
,Team Totals,,,16,16,324,1288,13,74,43.5,53.0,4.0,80.5,20.3,576,368,4216,11.5,19,205,51.9,91.0,23.0,263.5,63.9,7.3,692,8.0,5504,32,34,
