Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,1:04PM ET,boxscore,L,,0-1,@,Atlanta Falcons,21.0,34.0,21.0,316.0,246.0,70.0,1.0,23.0,474.0,156.0,318.0,,5.75,-21.7,1.59
2,Sun,September 14,1:03PM ET,boxscore,L,,0-2,,Green Bay Packers,25.0,48.0,15.0,311.0,262.0,49.0,3.0,19.0,447.0,324.0,123.0,1.0,-22.15,-12.42,7.81
3,Sun,September 21,4:06PM ET,boxscore,L,,0-3,@,San Francisco 49ers,13.0,31.0,14.0,240.0,124.0,116.0,2.0,25.0,370.0,188.0,182.0,,-6.15,-16.16,3.23
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 5,1:02PM ET,boxscore,L,,0-4,,Chicago Bears,7.0,34.0,12.0,185.0,131.0,54.0,2.0,21.0,425.0,328.0,97.0,1.0,-24.0,-11.52,8.38
6,Sun,October 12,1:05PM ET,boxscore,L,,0-5,@,Minnesota Vikings,10.0,12.0,8.0,212.0,112.0,100.0,1.0,23.0,392.0,257.0,135.0,3.0,-13.2,6.12,5.05
7,Sun,October 19,4:05PM ET,boxscore,L,,0-6,@,Houston Texans,21.0,28.0,15.0,326.0,249.0,77.0,,29.0,404.0,254.0,150.0,1.0,10.71,-19.46,5.84
8,Sun,October 26,1:03PM ET,boxscore,L,,0-7,,Washington Redskins,17.0,25.0,13.0,274.0,217.0,57.0,,22.0,439.0,304.0,135.0,1.0,-1.19,-8.42,0.83
9,Sun,November 2,1:02PM ET,boxscore,L,,0-8,@,Chicago Bears,23.0,27.0,21.0,333.0,280.0,53.0,3.0,18.0,320.0,166.0,154.0,2.0,-6.97,-0.31,4.78
10,Sun,November 9,1:02PM ET,boxscore,L,,0-9,,Jacksonville Jaguars,14.0,38.0,13.0,256.0,153.0,103.0,1.0,24.0,384.0,227.0,157.0,,-1.79,-23.33,0.07
11,Sun,November 16,1:03PM ET,boxscore,L,,0-10,@,Carolina Panthers,22.0,31.0,20.0,316.0,186.0,130.0,4.0,16.0,366.0,102.0,264.0,1.0,-5.78,-9.6,2.36
12,Sun,November 23,1:03PM ET,boxscore,L,,0-11,,Tampa Bay Buccaneers,20.0,38.0,9.0,207.0,99.0,108.0,3.0,15.0,255.0,139.0,116.0,3.0,-26.59,6.01,-1.19
13,Thu,November 27,12:37PM ET,boxscore,L,,0-12,,Tennessee Titans,10.0,47.0,6.0,154.0,131.0,23.0,3.0,19.0,456.0,164.0,292.0,1.0,-26.02,-9.44,-4.74
14,Sun,December 7,1:03PM ET,boxscore,L,,0-13,,Minnesota Vikings,16.0,20.0,15.0,268.0,191.0,77.0,,20.0,301.0,168.0,133.0,2.0,-2.11,-3.43,0.84
15,Sun,December 14,1:02PM ET,boxscore,L,,0-14,@,Indianapolis Colts,21.0,31.0,18.0,323.0,233.0,90.0,2.0,28.0,421.0,315.0,106.0,2.0,1.25,-25.19,13.62
16,Sun,December 21,1:03PM ET,boxscore,L,,0-15,,New Orleans Saints,7.0,42.0,15.0,255.0,126.0,129.0,2.0,32.0,532.0,351.0,181.0,1.0,0.02,-36.0,-0.17
17,Sun,December 28,1:02PM ET,boxscore,L,,0-16,@,Green Bay Packers,21.0,31.0,19.0,316.0,220.0,96.0,2.0,20.0,484.0,273.0,211.0,1.0,-0.33,-13.29,0.64
