Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Calvin Johnson,26.0,WR,1,1,0,0,0,0,,,,0.0,0.0,15,12,211,17.6,2,10,80.0,42.0,12.0,211.0,80.0,14.1,12,17.6,211,2,0,
2.0,Nate Burleson,30.0,WR,1,1,1,2,0,1,100.0,2.0,2.0,2.0,1.0,5,4,50,12.5,0,2,40.0,21.0,4.0,50.0,80.0,10.0,5,10.4,52,0,0,
3.0,Brandon Pettigrew,26.0,TE,1,0,0,0,0,0,,,,0.0,0.0,5,4,49,12.3,0,2,80.0,22.0,4.0,49.0,80.0,9.8,4,12.3,49,0,0,
4.0,Kevin Smith,25.0,RB,1,1,6,21,0,0,50.0,9.0,3.5,21.0,6.0,4,2,20,10.0,0,1,50.0,13.0,2.0,20.0,50.0,5.0,8,5.1,41,0,0,
5.0,Titus Young,22.0,WR,1,0,1,8,0,0,100.0,8.0,8.0,8.0,1.0,10,4,33,8.3,0,3,40.0,15.0,4.0,33.0,40.0,3.3,5,8.2,41,0,0,
6.0,Will Heller,30.0,TE,1,1,0,0,0,0,,,,0.0,0.0,1,1,10,10.0,1,1,100.0,10.0,1.0,10.0,100.0,10.0,1,10.0,10,1,0,
7.0,Tony Scheffler,28.0,TE,1,1,0,0,0,0,,,,0.0,0.0,3,1,7,7.0,0,1,33.3,7.0,1.0,7.0,33.3,2.3,1,7.0,7,0,0,
8.0,Matthew Stafford,23.0,QB,1,1,2,1,1,1,50.0,1.0,0.5,1.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,0.5,1,1,0,
,Team Totals,,,1,1,10,32,1,2,60.0,9.0,3.2,32.0,10.0,43,28,380,13.6,3,20,60.5,42.0,28.0,380.0,65.1,8.8,38,10.8,412,4,0,
