Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Ezekiel Ansah,25.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,2,2,0,1.0,4.0,0.0,
2.0,Reggie Bush,29.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,,,0.0,
3.0,James Ihedigbo,31.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,9,7,2,1.0,1.0,0.0,
4.0,Jason Jones,28.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0.0,
5.0,DeAndre Levy,27.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0.0,
6.0,Rashean Mathis,34.0,RCB,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,3,3,0,0.0,0.0,0.0,
7.0,C.J. Mosley,31.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,1,0.0,1.0,0.0,
8.0,Ashlee Palmer,28.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0.0,
9.0,Glover Quin,28.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0.0,
10.0,Darius Slay,23.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
11.0,Matthew Stafford,26.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0,0,,,0.0,
12.0,Ndamukong Suh,27.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,3,3,0,2.0,2.0,0.0,
13.0,Tahir Whitehead,24.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,6,6,0,1.0,1.0,0.0,
14.0,Isa Abdul-Quddus,25.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0.0,
15.0,Josh Bynes,25.0,LB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
16.0,Don Carey,27.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,1.0,0.0,0.0,
17.0,Jeremy Ross,26.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0.0,0,0,0,,,0.0,
18.0,Mohammed Seisay,24.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,,
19.0,Darryl Tapp,30.0,DE,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,2,2,0,0.0,1.0,0.0,
20.0,Devin Taylor,25.0,DE,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
21.0,Cassius Vaughn,27.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0.0,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,1,2,4,1,0,0,6.0,46,41,5,6.0,10.0,0.0,
