Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Alex Anzalone,28.0,MLB,17,17,1,4,0,4,6,0,0,1,0,0,1.5,125,77,48,7,7,0,
2.0,Jared Goff,28.0,QB,17,17,0,0,0,0,0,0,7,2,5,0,0.0,2,2,0,0,0,0,"PB,AP CPoY-6"
3.0,Aidan Hutchinson,22.0,LDE,17,17,3,25,0,20,3,0,0,2,0,0,9.5,52,34,18,9,15,0,AP DRoY-2
4.0,Alim McNeill,22.0,RDT,17,17,0,0,0,0,0,0,0,0,0,0,1.0,41,17,24,6,7,0,
5.0,Jeff Okudah,23.0,RCB,15,15,1,20,1,20,7,1,0,0,0,0,0.0,73,59,14,2,0,0,
6.0,Malcolm Rodriguez,23.0,LLB,16,15,0,0,0,0,2,1,0,1,2,0,1.0,87,62,25,8,3,0,
7.0,Kerby Joseph,22.0,SS,17,14,4,70,0,38,8,2,0,1,6,0,0.0,82,55,27,0,1,0,
8.0,Isaiah Buggs,26.0,LDT,17,13,0,0,0,0,2,1,0,0,0,0,1.0,46,21,25,0,10,0,
9.0,DeShon Elliott,25.0,FS,14,13,1,0,0,0,3,1,0,1,0,0,0.0,96,73,23,5,3,0,
10.0,Josh Reynolds,27.0,WR,14,11,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
11.0,DJ Chark,26.0,WR,11,10,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
12.0,Will Harris,27.0,RLB,15,10,1,0,0,0,4,1,0,1,0,0,0.0,57,44,13,2,1,0,
13.0,Brock Wright,24.0,TE,17,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
14.0,Jamaal Williams,27.0,RB,17,9,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
15.0,John Cominsky,27.0,RDE,14,8,0,0,0,0,3,1,0,0,0,0,4.0,30,18,12,5,12,0,
16.0,Jerry Jacobs,25.0,LCB,12,8,1,38,0,38,8,0,0,0,0,0,1.0,42,37,5,4,1,0,
17.0,D'Andre Swift,23.0,RB,14,8,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
18.0,Kalif Raymond,28.0,WR,17,7,0,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,0,0,AP-2
19.0,Mike Hughes,25.0,DB,16,6,0,0,0,0,1,0,0,0,0,0,0.0,51,35,16,3,2,0,
20.0,Michael Brockers,32.0,LDT,6,5,0,0,0,0,1,0,0,0,0,0,0.0,4,1,3,0,1,0,
21.0,Amani Oruwariye,26.0,LCB,14,5,0,0,0,0,3,0,0,1,0,0,0.0,44,36,8,1,0,0,
22.0,Dan Skipper,28.0,LG,16,5,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
23.0,Derrick Barnes,23.0,LB,15,4,0,0,0,0,1,0,0,0,0,0,1.0,47,27,20,3,1,0,
24.0,Charles Harris,27.0,DE,6,4,0,0,0,0,1,1,0,0,0,0,1.0,14,10,4,2,4,0,
25.0,Josh Paschal,23.0,DT,10,4,0,0,0,0,0,0,0,0,0,0,2.0,16,10,6,2,4,0,
26.0,Tracy Walker,27.0,S,3,3,0,0,0,0,1,0,0,0,0,0,1.0,20,11,9,1,1,0,
27.0,Jason Cabinda,26.0,LB,8,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
28.0,James Houston,24.0,LB,7,2,0,0,0,0,0,1,0,1,0,0,8.0,12,11,1,7,11,0,
29.0,Julian Okwara,25.0,LB,10,2,0,0,0,0,0,0,0,0,0,0,2.0,17,10,7,3,3,0,
