Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,LeRoy Butler,32.0,SS,16,16,2,25,0,22,7.0,1,0,1,0,0,2.0,92.0,66.0,26.0,3.0,0,
2.0,Brett Favre,31.0,QB,16,16,0,0,0,0,0.0,0,9,2,-12,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Bernardo Harris,29.0,MLB,16,16,0,0,0,0,5.0,1,0,0,0,0,2.0,97.0,76.0,21.0,10.0,0,
4.0,Russell Maryland,31.0,LDT,16,16,0,0,0,0,2.0,0,0,0,0,0,0.0,37.0,18.0,19.0,2.0,1,
5.0,Bill Schroeder,29.0,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Darren Sharper,25.0,FS,16,16,9,109,0,47,17.0,0,0,0,0,0,1.0,92.0,72.0,20.0,5.0,0,"PB,AP-1,AP CPoY-7"
7.0,John Thierry,29.0,RDE,16,16,0,0,0,0,2.0,0,0,0,0,0,6.5,40.0,32.0,8.0,11.0,0,
8.0,Tyrone Williams,27.0,RCB,16,16,4,105,1,46,14.0,0,0,0,0,0,0.0,59.0,51.0,8.0,3.0,0,
9.0,Antonio Freeman,28.0,WR,15,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Bubba Franks,22.0,TE,16,13,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
11.0,Nate Wayne,25.0,RLB,16,13,0,0,0,0,7.0,1,0,1,9,0,2.0,105.0,78.0,27.0,7.0,0,
12.0,Na'il Diggs,22.0,LLB,13,12,0,0,0,0,2.0,0,0,1,52,0,0.0,34.0,25.0,9.0,3.0,0,
13.0,Santana Dotson,31.0,RDT,12,11,0,0,0,0,0.0,0,0,0,0,0,6.0,38.0,23.0,15.0,7.0,0,
14.0,Ahman Green,23.0,RB,16,11,0,0,0,0,0.0,0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0,AP CPoY-12
15.0,Cletidus Hunt,24.0,LDE/RDT,16,11,0,0,0,0,3.0,0,0,0,0,0,5.0,28.0,18.0,10.0,7.0,0,
16.0,Tyrone Davis,28.0,TE,14,9,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
17.0,Vonnie Holliday,25.0,LDE,12,9,1,3,0,3,3.0,0,0,0,0,0,5.0,35.0,22.0,13.0,7.0,0,
18.0,Mike McKenzie,24.0,LCB,10,8,1,26,0,26,6.0,1,1,0,0,0,0.0,33.0,30.0,3.0,1.0,0,
19.0,William Henderson,29.0,FB,16,6,0,0,0,0,0.0,1,1,1,0,0,0.0,7.0,5.0,2.0,0.0,0,
20.0,Tod McBride,24.0,LCB,15,6,2,43,0,43,9.0,0,0,0,0,0,0.0,54.0,43.0,11.0,1.0,0,
21.0,Antuan Edwards,23.0,DB,12,3,2,4,0,4,9.0,0,0,0,0,0,0.0,30.0,25.0,5.0,0.0,0,
22.0,Brian Williams,28.0,LB,4,3,0,0,0,0,0.0,1,0,1,0,0,0.5,25.0,17.0,8.0,0.0,0,
23.0,K.D. Williams,27.0,LB,16,3,0,0,0,0,0.0,0,0,1,0,0,0.5,30.0,25.0,5.0,2.0,0,
24.0,Corey Bradford,25.0,WR,2,2,0,0,0,0,0.0,1,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
25.0,Earl Dotson,30.0,T,2,2,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
26.0,Donald Driver,25.0,WR,16,2,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
27.0,Charles Lee,23.0,WR,15,1,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
28.0,Billy Lyon,27.0,DE,11,1,0,0,0,0,0.0,0,0,0,0,0,1.0,11.0,7.0,4.0,1.0,0,
29.0,Chris Akins,24.0,DB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
30.0,Josh Bidwell,24.0,P,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
31.0,David Bowens,23.0,DE,14,0,0,0,0,0,0.0,0,0,1,0,0,3.5,33.0,24.0,9.0,6.0,0,
32.0,Rob Davis,32.0,LS,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,3.0,2.0,1.0,0.0,0,
33.0,Kabeer Gbaja-Biamila,23.0,DE,7,0,0,0,0,0,0.0,0,0,0,0,0,1.5,9.0,8.0,1.0,1.0,0,
34.0,Chris Gizzi,25.0,LB,11,0,0,0,0,0,0.0,0,0,0,0,0,0.0,8.0,7.0,1.0,0.0,0,
