Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Na'il Diggs,23.0,LLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,9,8.0,1.0,1.0,0.0,
2.0,Santana Dotson,32.0,RDT,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
3.0,Bernardo Harris,30.0,MLB,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,7,6.0,1.0,2.0,0.0,
4.0,Vonnie Holliday,26.0,LDE,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,9,8.0,1.0,0.0,0.0,
5.0,Cletidus Hunt,25.0,DT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,4.0,2.0,1.0,0.0,
6.0,Billy Jenkins,27.0,DB,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,8,7.0,1.0,1.0,0.0,
7.0,Mike McKenzie,25.0,LCB,2,2,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
8.0,Darren Sharper,26.0,FS,2,2,1.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,16,12.0,4.0,1.0,0.0,
9.0,Nate Wayne,26.0,RLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,12,5.0,7.0,0.0,0.0,
10.0,Tyrone Williams,28.0,RCB,2,2,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,
11.0,Gilbert Brown,30.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,5,3.0,2.0,1.0,0.0,
12.0,Mike Flanagan,28.0,C,1,1,0.0,0.0,0.0,0.0,0,0,1,0,-2,0,0.0,0,,,,0.0,
13.0,Antonio Freeman,29.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,
14.0,Ahman Green,24.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,
15.0,Matt Bowen,25.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
16.0,Corey Bradford,26.0,WR,1,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0.0,1,1.0,0.0,0.0,0.0,
17.0,Donald Driver,26.0,WR,2,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,1,1.0,0.0,0.0,0.0,
18.0,Jim Flanigan,30.0,LDT,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,3.0,,
19.0,Kabeer Gbaja-Biamila,24.0,DE,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1,1.0,0.0,1.0,0.0,
20.0,Herbert Goodman,24.0,RB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
21.0,Rob Holmberg,30.0,LB,2,0,,,,,1,0,0,0,0,0,0.0,4,3.0,1.0,0.0,,
22.0,Bhawoh Jue,22.0,SS,1,0,,,,,1,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
23.0,Billy Lyon,28.0,DE,2,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
24.0,Tod McBride,25.0,DB,2,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,6.0,0.0,0.0,0.0,
25.0,Jamal Reynolds,22.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
26.0,Allen Rossum,26.0,DB,2,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
27.0,K.D. Williams,28.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
,Team Totals,,,2,2,2.0,0.0,0.0,0.0,13,1,4,2,-2,0,4.0,113,90.0,23.0,11.0,0.0,
