Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Ahman Green,25.0,RB,14,14,286,1240,7,57,45.1,43.0,4.3,88.6,20.4,74,57,393,6.9,2,19,48.6,23.0,4.1,28.1,77.0,5.3,343,4.8,1633,9,4,PB
2.0,Donald Driver,27.0,WR,16,16,8,70,0,4,50.0,17.0,8.8,4.4,0.5,113,70,1064,15.2,9,47,56.6,85.0,4.4,66.5,61.9,9.4,78,14.5,1134,9,1,PB
3.0,Terry Glenn,28.0,WR,15,14,0,0,0,0,,,,0.0,0.0,106,56,817,14.6,2,43,46.2,49.0,3.7,54.5,52.8,7.7,56,14.6,817,2,1,
4.0,Bubba Franks,24.0,TE,16,15,0,0,0,0,,,,0.0,0.0,71,54,442,8.2,7,28,70.4,20.0,3.4,27.6,76.1,6.2,54,8.2,442,7,0,PB
5.0,Tony Fisher,23.0,RB,15,1,70,283,2,15,44.3,28.0,4.0,18.9,4.7,22,18,70,3.9,0,3,36.4,11.0,1.2,4.7,81.8,3.2,88,4.0,353,2,2,
6.0,Javon Walker,24.0,WR,15,2,1,11,0,1,100.0,11.0,11.0,0.7,0.1,50,23,319,13.9,1,14,38.0,30.0,1.5,21.3,46.0,6.4,24,13.8,330,1,1,
7.0,Robert Ferguson,23.0,WR,16,1,0,0,0,0,,,,0.0,0.0,52,22,293,13.3,3,15,38.5,40.0,1.4,18.3,42.3,5.6,22,13.3,293,3,0,
8.0,Najeh Davenport,23.0,RB,8,0,39,184,1,8,41.0,43.0,4.7,23.0,4.9,9,5,33,6.6,0,2,33.3,13.0,0.6,4.1,55.6,3.7,44,4.9,217,1,1,
9.0,William Henderson,31.0,FB,15,12,7,27,1,2,57.1,10.0,3.9,1.8,0.5,32,26,168,6.5,3,12,62.5,17.0,1.7,11.2,81.3,5.3,33,5.9,195,4,0,
10.0,Tyrone Davis,30.0,TE,9,2,0,0,0,0,,,,0.0,0.0,11,9,107,11.9,1,7,63.6,24.0,1.0,11.9,81.8,9.7,9,11.9,107,1,0,
11.0,Rondell Mealey,25.0,RB,3,1,11,36,1,3,27.3,18.0,3.3,12.0,3.7,9,7,45,6.4,0,2,66.7,11.0,2.3,15.0,77.8,5.0,18,4.5,81,1,0,
12.0,Brett Favre,33.0,QB,16,16,25,73,0,6,28.0,17.0,2.9,4.6,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,2.9,73,0,10,"PB,AP-2,AP MVP-2"
13.0,David Martin,23.0,TE,8,2,0,0,0,0,,,,0.0,0.0,11,8,33,4.1,1,3,45.5,7.0,1.0,4.1,72.7,3.0,8,4.1,33,1,0,
14.0,Karsten Bailey,25.0,WR,7,0,0,0,0,0,,,,0.0,0.0,6,3,26,8.7,0,2,33.3,10.0,0.4,3.7,50.0,4.3,3,8.7,26,0,0,
15.0,Jay Graham,27.0,RB,3,0,1,3,0,0,0.0,3.0,3.0,1.0,0.3,2,2,6,3.0,0,0,0.0,4.0,0.7,2.0,100.0,3.0,3,3.0,9,0,0,
16.0,Eric Metcalf,34.0,KR,1,0,2,7,0,1,50.0,5.0,3.5,7.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,3.5,7,0,1,
17.0,Mike Wahle,25.0,LG,16,16,0,0,0,0,,,,0.0,0.0,1,1,7,7.0,0,0,0.0,7.0,0.1,0.4,100.0,7.0,1,7.0,7,0,0,
18.0,Gilbert Brown,31.0,LDT,12,11,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
19.0,Tony Carter,30.0,RB,12,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
20.0,Doug Pederson,34.0,QB,16,0,1,-1,0,0,0.0,-1.0,-1.0,-0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
,Team Totals,,,16,16,451,1933,12,97,43.5,43.0,4.3,120.8,28.2,571,361,3823,10.6,29,197,50.6,85.0,22.6,238.9,63.2,6.7,812,7.1,5756,41,21,
