Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Nick Collins,23.0,FS,16,16,3,68,1,55,14,2,0,0,0,0,0.0,82.0,67.0,15.0,2.0,0.0,0,
2.0,Donald Driver,31.0,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
3.0,Brett Favre,37.0,QB,16,16,0,0,0,0,0,0,8,2,-9,0,0.0,,,,,,0,
4.0,Al Harris,32.0,RCB,16,16,3,39,0,34,17,0,0,0,0,0,0.0,41.0,35.0,6.0,0.0,0.0,0,
5.0,A.J. Hawk,22.0,RLB,16,16,2,31,0,25,7,1,0,2,0,0,3.5,121.0,84.0,37.0,6.0,7.0,0,AP DRoY-3
6.0,Aaron Kampman,27.0,LDE,16,16,0,0,0,0,0,3,0,1,0,0,15.5,89.0,59.0,30.0,13.0,30.0,0,"PB,AP-2"
7.0,Marquand Manuel,27.0,SS,16,16,1,29,1,29,3,0,0,0,0,0,0.0,81.0,62.0,19.0,2.0,0.0,0,
8.0,Ryan Pickett,27.0,RDT,16,16,0,0,0,0,5,0,0,1,0,0,0.0,64.0,31.0,33.0,1.0,2.0,0,
9.0,Scott Wells,25.0,C,16,16,0,0,0,0,0,0,4,0,-7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Charles Woodson,30.0,LCB,16,16,8,61,1,23,20,3,0,1,0,0,1.0,62.0,51.0,11.0,1.0,1.0,0,
11.0,Nick Barnett,25.0,MLB,15,15,2,3,0,3,8,0,0,1,0,0,2.0,105.0,61.0,44.0,6.0,6.0,0,
12.0,Bubba Franks,28.0,TE,16,14,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
13.0,Ahman Green,29.0,RB,14,14,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
14.0,Kabeer Gbaja-Biamila,29.0,RDE,16,13,0,0,0,0,0,2,0,0,0,0,6.0,40.0,28.0,12.0,7.0,17.0,0,
15.0,Jason Spitz,24.0,RG,14,13,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
16.0,Brady Poppinga,27.0,LLB,16,12,1,21,0,21,5,2,0,0,0,0,1.0,61.0,45.0,16.0,2.0,2.0,0,
17.0,Greg Jennings,23.0,WR,14,11,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Corey Williams,26.0,LDT,16,11,0,0,0,0,3,0,0,1,0,0,7.0,34.0,26.0,8.0,9.0,11.0,0,
19.0,William Henderson,35.0,FB,14,9,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0.0,0,
20.0,Cullen Jenkins,25.0,RDE,14,5,0,0,0,0,1,0,0,2,0,0,6.5,32.0,23.0,9.0,7.0,14.0,0,
21.0,Colin Cole,26.0,DT,15,3,0,0,0,0,0,1,0,0,0,0,1.0,38.0,28.0,10.0,3.0,1.0,0,
