Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,DuJuan Harris,24.0,RB,2,2,28,100,2,5,46.4,18.0,3.6,50.0,14.0,10,7,64,9.1,0,4,60.0,16.0,3.5,32.0,70.0,6.4,35,4.7,164,2,0,
2.0,James Jones,28.0,WR,2,2,0,0,0,0,,,,0.0,0.0,10,8,138,17.3,1,6,70.0,44.0,4.0,69.0,80.0,13.8,8,17.3,138,1,0,
3.0,Greg Jennings,29.0,WR,2,2,0,0,0,0,,,,0.0,0.0,14,10,115,11.5,1,4,50.0,32.0,5.0,57.5,71.4,8.2,10,11.5,115,1,0,
4.0,Jordy Nelson,27.0,WR,2,0,0,0,0,0,,,,0.0,0.0,13,8,97,12.1,0,7,61.5,23.0,4.0,48.5,61.5,7.5,8,12.1,97,0,0,
5.0,Randall Cobb,22.0,WR,2,2,4,29,0,1,50.0,19.0,7.3,14.5,2.0,8,6,31,5.2,0,0,25.0,8.0,3.0,15.5,75.0,3.9,10,6.0,60,0,1,
6.0,Jermichael Finley,25.0,TE,2,2,0,0,0,0,,,,0.0,0.0,8,5,45,9.0,0,3,50.0,19.0,2.5,22.5,62.5,5.6,5,9.0,45,0,0,
7.0,Aaron Rodgers,29.0,QB,2,2,5,40,0,1,60.0,17.0,8.0,20.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,8.0,40,0,1,
8.0,Ryan Grant,30.0,RB,1,0,7,7,0,0,14.3,7.0,1.0,7.0,7.0,1,1,16,16.0,0,1,100.0,16.0,1.0,16.0,100.0,16.0,8,2.9,23,0,0,
9.0,John Kuhn,30.0,FB,2,0,3,4,1,1,66.7,3.0,1.3,2.0,1.5,4,2,15,7.5,1,1,25.0,9.0,1.0,7.5,50.0,3.8,5,3.8,19,2,0,
10.0,Tom Crabtree,27.0,TE,2,0,0,0,0,0,,,,0.0,0.0,3,1,10,10.0,0,1,33.3,10.0,0.5,5.0,33.3,3.3,1,10.0,10,0,0,
11.0,Ryan Taylor,25.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,1,0,0.0,0,0,0.0,,1.0,0.0,100.0,0.0,1,0.0,0,0,0,
,Team Totals,,,2,2,47,180,3,8,44.7,19.0,3.8,90.0,23.5,72,49,531,10.8,3,27,51.4,44.0,24.5,265.5,68.1,7.4,96,7.4,711,6,2,
