Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Sam Barrington,24.0,RILB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,14,6,8,0.0,0.0,0,
2.0,Morgan Burnett,25.0,SS,2,2,1,4,0,4,1,0,0,1,0,0,2.0,14,11,3,3.0,2.0,0,
3.0,Ha Ha Clinton-Dix,22.0,FS,2,2,2,53,0,27,3,0,0,0,0,0,0.0,11,8,3,0.0,0.0,0,
4.0,Mike Daniels,25.0,RDE,2,2,0,0,0,0,0,0,0,0,0,0,0.5,6,1,5,0.0,1.0,0,
5.0,Letroy Guion,27.0,NT,2,2,0,0,0,0,0,0,0,0,0,0,0.5,9,5,4,0.0,2.0,0,
6.0,Clay Matthews,28.0,ROLB/RILB,2,2,0,0,0,0,0,0,0,0,0,0,1.0,10,7,3,1.0,2.0,0,
7.0,Julius Peppers,34.0,LOLB,2,2,0,0,0,0,0,2,0,0,0,0,2.5,11,5,6,2.0,3.0,0,
8.0,Sam Shields,27.0,RCB,2,2,1,0,0,0,2,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
9.0,Tramon Williams,31.0,LCB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,6,4,2,0.0,0.0,0,
10.0,Josh Boyd,25.0,DE,2,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,0.0,0,
11.0,Randall Cobb,24.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
12.0,A.J. Hawk,30.0,LILB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0.0,0.0,0,
13.0,Micah Hyde,24.0,DB,2,1,0,0,0,0,0,0,1,1,0,0,0.0,2,2,0,0.0,1.0,0,
14.0,Nick Perry,24.0,LB,2,1,0,0,0,0,0,0,0,0,0,0,1.5,8,5,3,1.0,2.0,0,
15.0,Aaron Rodgers,31.0,QB,1,1,0,0,0,0,0,0,2,0,-9,0,0.0,0,0,0,0.0,0.0,0,
16.0,Chris Banjo,24.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
17.0,Brandon Bostick,25.0,TE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
18.0,Jarrett Boykin,25.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
19.0,Jarrett Bush,30.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
20.0,Jayrone Elliott,23.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
21.0,Casey Hayward,25.0,DB,2,0,0,0,0,0,1,0,0,0,0,0,0.0,4,4,0,1.0,0.0,0,
22.0,Davon House,25.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0.0,0.0,0,
23.0,Brad Jones,28.0,LB,2,0,0,0,0,0,0,1,0,0,0,0,0.0,5,4,1,0.0,0.0,0,
24.0,Datone Jones,24.0,DE,2,0,0,0,0,0,0,0,0,1,0,0,0.5,4,1,3,0.0,2.0,0,
25.0,Mike Neal,27.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.5,8,4,4,0.0,2.0,0,
26.0,Mike Pennel,23.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
27.0,Andrew Quarless,26.0,TE,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
28.0,Sean Richardson,24.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
,Team Totals,,,2,2,4,57,0,27,9,3,4,4,-9,0,9.0,137,79,58,8.0,17.0,0,
