Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,8:20PM ET,boxscore,W,,1-0,,Chicago Bears,24.0,23.0,16.0,370.0,301.0,69.0,2.0,18.0,294.0,155.0,139.0,1.0,1.65,1.75,0.54
2,Sun,September 16,1:00PM ET,boxscore,T,OT,1-0-1,,Minnesota Vikings,29.0,29.0,24.0,351.0,253.0,98.0,,24.0,480.0,412.0,68.0,1.0,4.92,-16.42,11.5
3,Sun,September 23,1:00PM ET,boxscore,L,,1-1-1,@,Washington Redskins,17.0,31.0,19.0,340.0,240.0,100.0,1.0,20.0,386.0,220.0,166.0,1.0,-3.32,-12.37,0.92
4,Sun,September 30,1:00PM ET,boxscore,W,,2-1-1,,Buffalo Bills,22.0,0.0,22.0,423.0,282.0,141.0,2.0,11.0,145.0,87.0,58.0,3.0,2.71,21.05,-7.7
5,Sun,October 7,1:00PM ET,boxscore,L,,2-2-1,@,Detroit Lions,23.0,31.0,30.0,521.0,423.0,98.0,3.0,18.0,264.0,170.0,94.0,,20.46,-4.76,-25.94
6,Mon,October 15,8:15PM ET,boxscore,W,,3-2-1,,San Francisco 49ers,33.0,30.0,26.0,521.0,405.0,116.0,,18.0,401.0,227.0,174.0,3.0,16.33,-11.1,-2.23
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 28,4:25PM ET,boxscore,L,,3-3-1,@,Los Angeles Rams,27.0,29.0,16.0,359.0,253.0,106.0,1.0,23.0,416.0,281.0,135.0,,14.06,-7.93,-8.28
9,Sun,November 4,8:20PM ET,boxscore,L,,3-4-1,@,New England Patriots,17.0,31.0,22.0,367.0,250.0,117.0,1.0,28.0,433.0,310.0,123.0,,4.92,-17.14,-3.52
10,Sun,November 11,4:25PM ET,boxscore,W,,4-4-1,,Miami Dolphins,31.0,12.0,21.0,377.0,182.0,195.0,1.0,19.0,294.0,163.0,131.0,2.0,11.86,12.66,-5.01
11,Thu,November 15,8:20PM ET,boxscore,L,,4-5-1,@,Seattle Seahawks,24.0,27.0,14.0,359.0,311.0,48.0,,23.0,378.0,205.0,173.0,1.0,9.27,-10.41,-4.0
12,Sun,November 25,8:20PM ET,boxscore,L,,4-6-1,@,Minnesota Vikings,17.0,24.0,14.0,254.0,172.0,82.0,1.0,22.0,416.0,325.0,91.0,,0.78,-10.38,-1.61
13,Sun,December 2,1:00PM ET,boxscore,L,,4-7-1,,Arizona Cardinals,17.0,20.0,22.0,325.0,227.0,98.0,,18.0,315.0,133.0,182.0,,3.18,-3.9,-0.74
14,Sun,December 9,1:00PM ET,boxscore,W,,5-7-1,,Atlanta Falcons,34.0,20.0,23.0,300.0,162.0,138.0,,22.0,344.0,237.0,107.0,2.0,11.83,-1.55,-0.57
15,Sun,December 16,1:00PM ET,boxscore,L,,5-8-1,@,Chicago Bears,17.0,24.0,19.0,323.0,235.0,88.0,1.0,19.0,332.0,232.0,100.0,1.0,-1.33,-6.61,0.49
16,Sun,December 23,1:00PM ET,boxscore,W,OT,6-8-1,@,New York Jets,44.0,38.0,35.0,540.0,413.0,127.0,1.0,23.0,370.0,323.0,47.0,,33.16,-12.93,-15.5
17,Sun,December 30,1:00PM ET,boxscore,L,,6-9-1,,Detroit Lions,0.0,31.0,9.0,175.0,129.0,46.0,1.0,25.0,402.0,272.0,130.0,,-17.16,-15.11,1.18
