Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Corey Bradford,27.0,WR,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
2.0,David Carr,23.0,QB,16,16,0,0,0,0,0.0,0,21,12,-28,0,0.0,0.0,0.0,0.0,0.0,0,AP ORoY-3
3.0,Marcus Coleman,28.0,RCB,16,16,1,0,0,0,22.0,2,0,2,8,0,0.0,73.0,61.0,12.0,2.0,0,
4.0,Jerry DeLoach,25.0,RDE,16,16,0,0,0,0,3.0,0,0,0,0,0,1.0,32.0,24.0,8.0,4.0,0,
5.0,Jay Foreman,26.0,LILB,16,16,0,0,0,0,8.0,1,0,0,0,0,0.0,143.0,107.0,36.0,8.0,0,
6.0,Aaron Glenn,30.0,LCB,16,16,5,181,2,70,18.0,0,0,0,0,0,1.0,67.0,56.0,11.0,1.0,0,PB
7.0,Seth Payne,27.0,NT,16,16,0,0,0,0,1.0,0,0,0,0,0,1.0,65.0,54.0,11.0,6.0,1,
8.0,Jamie Sharper,28.0,RILB,16,16,0,0,0,0,9.0,0,0,3,2,0,5.5,137.0,95.0,42.0,14.0,0,
9.0,Matt Stevens,29.0,FS,16,16,1,0,0,0,2.0,0,0,0,0,0,0.0,84.0,61.0,23.0,2.0,0,
10.0,Gary Walker,29.0,LDE,16,16,0,0,0,0,4.0,1,0,1,1,0,6.5,52.0,37.0,15.0,11.0,0,PB
11.0,Kailee Wong,26.0,LOLB,16,16,0,0,0,0,8.0,1,0,0,0,0,5.5,44.0,34.0,10.0,8.0,0,
12.0,Eric Brown,27.0,SS,15,15,2,7,0,7,11.0,1,0,0,0,0,0.5,69.0,60.0,9.0,4.0,0,
