Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jared Crick,26.0,LDE,16,16,0,0,0,0,2,1,0,2,0,0,2.0,48,28,20,3.0,9.0,0,
2.0,Brian Cushing,28.0,LILB,16,16,0,0,0,0,3,1,0,0,0,0,0.0,110,63,47,4.0,2.0,0,
3.0,DeAndre Hopkins,23.0,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
4.0,Johnathan Joseph,31.0,RCB,16,16,1,2,0,2,22,1,0,1,0,0,0.0,58,48,10,1.0,0.0,0,
5.0,Derek Newton,28.0,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
6.0,J.J. Watt,26.0,RDE,16,16,0,0,0,0,8,3,0,1,0,0,17.5,76,57,19,29.0,50.0,0,"PB,AP-1,AP DPoY-1"
7.0,Vince Wilfork,34.0,NT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,22,6,16,0.0,0.0,0,
8.0,C.J. Fiedorowicz,24.0,TE,16,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
9.0,Quintin Demps,30.0,SS,14,13,1,0,0,0,6,1,0,2,33,1,0.5,61,35,26,1.0,1.0,0,
10.0,Andre Hal,23.0,FS,16,11,4,54,1,31,10,0,0,0,0,0,0.0,36,27,9,1.0,0.0,0,
11.0,Benardrick McKinney,23.0,RILB,14,11,0,0,0,0,0,0,0,0,0,0,1.0,63,37,26,7.0,2.0,0,
12.0,Kareem Jackson,27.0,LCB,12,10,2,77,1,50,6,1,0,1,34,0,0.0,58,52,6,1.0,0.0,0,
13.0,Kevin Johnson,23.0,LCB,16,10,1,22,0,22,9,0,0,0,0,0,0.0,54,48,6,3.0,0.0,0,
14.0,Whitney Mercilus,25.0,LOLB,16,10,0,0,0,0,2,1,0,2,5,0,12.0,52,32,20,14.0,16.0,0,
15.0,Alfred Blue,24.0,RB,16,9,0,0,0,0,0,1,2,0,0,0,0.0,4,3,1,0.0,0.0,0,
16.0,Jadeveon Clowney,22.0,ROLB,13,9,0,0,0,0,6,1,0,0,0,0,4.5,40,27,13,8.0,8.0,0,
17.0,Brian Hoyer,30.0,QB,11,9,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0.0,0.0,0,
18.0,Xavier Su'a-Filo,24.0,LG,11,9,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
19.0,John Simon,25.0,ROLB,16,8,0,0,0,0,0,0,0,1,0,0,5.0,53,39,14,3.0,11.0,0,
20.0,Rahim Moore,25.0,FS,7,6,1,17,0,17,2,0,1,0,0,0,0.0,16,10,6,0.0,0.0,0,
21.0,Chris Clark,30.0,RT,11,4,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
22.0,Arian Foster,29.0,RB,4,4,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
23.0,Kendall Lamm,23.0,T,15,4,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
24.0,Cecil Shorts,28.0,WR,11,4,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
25.0,Keith Mumphery,23.0,WR,16,3,0,0,0,0,0,0,3,3,0,0,0.0,4,4,0,0.0,0.0,0,
26.0,A.J. Bouye,24.0,DB,15,2,2,9,0,9,6,0,0,0,0,0,0.0,16,15,1,0.0,0.0,0,
27.0,Akeem Dent,28.0,LB,12,2,0,0,0,0,0,0,0,0,0,0,0.0,18,15,3,1.0,2.0,0,
28.0,Garrett Graham,29.0,TE,8,2,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
29.0,Chris Polk,26.0,RB,15,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
30.0,Jay Prosch,23.0,RB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0.0,0.0,0,
31.0,Justin Tuggle,25.0,LB,11,2,0,0,0,0,0,0,0,1,0,0,0.0,18,11,7,1.0,0.0,0,
32.0,T.J. Yates,28.0,QB,4,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
33.0,Max Bullough,23.0,LB,13,1,0,0,0,0,0,0,0,0,0,0,0.0,30,16,14,1.0,0.0,0,
34.0,Charles James,25.0,DB,9,1,0,0,0,0,1,0,0,0,0,0,0.0,19,12,7,1.0,0.0,0,
35.0,Brandon Weeden,32.0,QB,2,1,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
36.0,Lonnie Ballentine,22.0,DB,2,0,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
37.0,Christian Covington,22.0,DT,15,0,0,0,0,0,0,0,0,0,0,0,2.0,8,5,3,4.0,4.0,0,
38.0,Kurtis Drummond,23.0,DB,9,0,0,0,0,0,0,1,0,0,0,0,0.0,14,12,2,0.0,0.0,0,
39.0,Brandon Dunn,23.0,NT,11,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0.0,0.0,0,
40.0,Jonathan Grimes,26.0,RB,14,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
41.0,Corey Moore,22.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
42.0,Darryl Morris,25.0,DB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,15,11,4,0.0,0.0,0,
43.0,Nick Novak,34.0,K,13,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
44.0,Jeoffrey Pagan,22.0,DE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
45.0,Brian Peters,27.0,LB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,17,11,6,0.0,0.0,0,
46.0,Eddie Pleasant,27.0,DB,16,0,2,-1,0,0,6,0,0,1,0,0,0.5,36,24,12,0.0,1.0,0,
47.0,Jumal Rolle,25.0,DB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0.0,0.0,0,
48.0,Carlos Thompson,23.0,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
49.0,Jon Weeks,29.0,LS,16,0,0,0,0,0,0,0,0,1,0,0,0.0,8,6,2,0.0,0.0,0,PB
