Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Alfred Blue,24.0,RB,1,1,17,99,0,3,41.2,49.0,5.8,99.0,17.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,17,5.8,99,0,0,
2.0,DeAndre Hopkins,23.0,WR,1,1,0,0,0,0,,,,0.0,0.0,11,6,69,11.5,0,5,45.5,17.0,6.0,69.0,54.5,6.3,6,11.5,69,0,0,
3.0,Ryan Griffin,25.0,TE,1,1,0,0,0,0,,,,0.0,0.0,8,3,29,9.7,0,3,37.5,15.0,3.0,29.0,37.5,3.6,3,9.7,29,0,0,
4.0,Jonathan Grimes,26.0,RB,1,1,4,15,0,0,25.0,8.0,3.8,15.0,4.0,2,2,12,6.0,0,1,100.0,8.0,2.0,12.0,100.0,6.0,6,4.5,27,0,0,
5.0,Jaelen Strong,21.0,WR,1,1,0,0,0,0,,,,0.0,0.0,2,1,17,17.0,0,0,0.0,17.0,1.0,17.0,50.0,8.5,1,17.0,17,0,0,
6.0,Cecil Shorts,28.0,WR,1,0,0,0,0,0,,,,0.0,0.0,3,1,5,5.0,0,0,0.0,5.0,1.0,5.0,33.3,1.7,1,5.0,5,0,0,
7.0,Nate Washington,32.0,WR,1,0,0,0,0,0,,,,0.0,0.0,6,1,3,3.0,0,1,16.7,3.0,1.0,3.0,16.7,0.5,1,3.0,3,0,0,
8.0,Jay Prosch,23.0,RB,1,0,1,2,0,0,0.0,2.0,2.0,2.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,0,
9.0,C.J. Fiedorowicz,24.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,0,0,0.0,1.0,1.0,1.0,100.0,1.0,1,1.0,1,0,0,
10.0,Akeem Hunt,22.0,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
11.0,Brian Hoyer,30.0,QB,1,1,1,-1,0,0,0.0,-1.0,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,2,
12.0,J.J. Watt,26.0,RDE,1,1,1,-1,0,0,0.0,-1.0,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
,Team Totals,,,1,1,25,114,0,3,32.0,49.0,4.6,114.0,25.0,34,15,136,9.1,0,10,32.4,17.0,15.0,136.0,44.1,4.0,40,6.3,250,0,2,
