Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Azeez Al-Shaair,27.0,MLB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,12,5,7,0,2,0,
2.0,Will Anderson,23.0,LDE,2,2,0,0,0,0,2,0,0,0,0,0,3.5,7,6,1,4,5,0,
3.0,Calen Bullock,21.0,FS,2,2,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
4.0,Folorunso Fatukasi,29.0,LDT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,1,0,0,
5.0,Danielle Hunter,30.0,RDE,2,2,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,3,0,
6.0,Kamari Lassiter,21.0,RCB,2,2,1,0,0,0,2,0,0,0,0,0,0.0,5,2,3,1,0,0,
7.0,Eric Murray,30.0,SS,2,2,1,38,1,38,2,0,0,0,0,0,0.0,11,8,3,0,1,0,
8.0,Derek Stingley Jr.,23.0,LCB,2,2,2,70,0,54,5,1,0,0,0,0,0.0,7,7,0,0,0,0,
9.0,C.J. Stroud,23.0,QB,2,2,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
10.0,Henry To'oTo'o,23.0,LLB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,13,4,9,0,0,0,
11.0,Myles Bryant,26.0,CB,2,1,0,0,0,0,3,0,0,0,0,0,0.0,7,4,3,0,0,0,
12.0,Christian Harris,23.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
13.0,Shaq Mason,31.0,RG,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
14.0,John Metchie,24.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
15.0,Joe Mixon,28.0,RB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
16.0,Tim Settle,27.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,1,0,0,
17.0,Denico Autry,34.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,1,0,
18.0,Derek Barnett,28.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
19.0,Kris Boyd,28.0,CB,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0,0,0,
20.0,Mario Edwards,30.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,1.5,3,2,1,1,3,0,
21.0,Neville Hewitt,31.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
22.0,Dare Ogunbowale,30.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
23.0,Del'Shawn Phillips,28.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,1,0,1,
24.0,D'Angelo Ross,28.0,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
25.0,M.J. Stewart,29.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
26.0,Tommy Togiai,25.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2,1,1,1,1,0,
27.0,Tommy Townsend,28.0,P,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
,Team Totals,,,2,2,4,108,1,54,14,2,4,2,0,0,7.0,101,59,42,11,16,1,
