Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Kyle Brady,29.0,TE,16,16,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
2.0,Keenan McCardell,31.0,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
3.0,Brad Meester,24.0,LG,16,16,0,0,0,0,0,0,0,1,21,0,0.0,0.0,0.0,0.0,0.0,0,
4.0,Seth Payne,26.0,RDT,16,16,0,0,0,0,0,0,0,0,0,0,5.0,55.0,41.0,14.0,13.0,0,
5.0,Jimmy Smith,32.0,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,,,,,0,"PB,AP CPoY-2"
6.0,Gary Walker,28.0,LDT,16,16,0,0,0,0,3,1,0,1,3,0,7.5,43.0,35.0,8.0,15.0,0,PB
7.0,Maurice Williams,22.0,RT,16,16,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Renaldo Wynn,27.0,LDE,16,16,0,0,0,0,1,1,0,0,0,0,5.0,40.0,29.0,11.0,7.0,0,
9.0,Mark Brunell,31.0,QB,15,15,0,0,0,0,0,0,8,2,-8,0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Hardy Nickerson,36.0,MLB,15,14,3,4,0,2,9,1,0,1,0,0,0.0,117.0,89.0,28.0,4.0,0,
11.0,Aaron Beasley,28.0,RCB,12,12,3,0,0,0,10,0,0,1,40,1,0.0,39.0,36.0,3.0,1.0,0,
12.0,Tony Brackens,27.0,RDE,12,12,0,0,0,0,6,5,0,1,1,0,11.0,43.0,40.0,3.0,11.0,1,
13.0,Ainsley Battles,23.0,FS/SS,13,11,2,26,0,26,2,1,0,2,60,1,1.0,56.0,51.0,5.0,4.0,0,
14.0,Donovin Darius,26.0,SS,11,11,1,39,0,39,7,0,0,0,0,0,0.0,77.0,65.0,12.0,4.0,0,
15.0,Stacey Mack,26.0,RB,16,11,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
16.0,Marlon McCree,24.0,FS,13,11,1,10,0,10,3,2,0,2,2,0,1.0,48.0,35.0,13.0,2.0,0,
17.0,Fernando Bryant,24.0,LCB,10,9,0,0,0,0,6,0,0,0,0,0,0.0,54.0,49.0,5.0,1.0,0,
18.0,Kevin Hardy,28.0,LLB,9,9,0,0,0,0,3,0,0,1,0,0,5.5,69.0,57.0,12.0,9.0,0,
19.0,Jason Craft,25.0,LCB,16,8,2,4,0,4,11,0,0,0,0,0,0.0,60.0,53.0,7.0,0.0,0,
20.0,T.J. Slaughter,24.0,RLB,9,8,0,0,0,0,1,2,0,0,0,0,1.0,57.0,44.0,13.0,9.0,0,
21.0,Patrick Washington,23.0,FB,16,6,0,0,0,0,0,0,0,0,0,0,0.0,15.0,13.0,2.0,0.0,0,
22.0,Jeff Posey,26.0,LLB,7,5,0,0,0,0,0,0,0,0,0,0,0.0,12.0,11.0,1.0,1.0,0,
23.0,Kiwaukee Thomas,24.0,LCB,16,5,0,0,0,0,5,0,0,1,0,0,3.0,48.0,46.0,2.0,5.0,0,
24.0,Damon Jones,27.0,TE,7,4,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
25.0,Paul Spicer,26.0,DE,16,4,0,0,0,0,2,0,0,1,3,0,2.0,28.0,23.0,5.0,6.0,0,
