Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Terry Cousin,30.0,CB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
2.0,Deon Grant,26.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
3.0,Reggie Hayward,26.0,LDE,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,4,2.0,2.0,1.0,0.0,
4.0,John Henderson,26.0,RDT,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,2.0,1.0,1.0,0.0,
5.0,Byron Leftwich,25.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,-8,0,0.0,0,,,,0.0,
6.0,Rashean Mathis,25.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
7.0,Mike Peterson,29.0,MLB,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,6,5.0,1.0,1.0,0.0,
8.0,Gerald Sensabaugh,22.0,DB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,4.0,1.0,1.0,0.0,
9.0,Daryl Smith,23.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,7,7.0,0.0,1.0,0.0,
10.0,Marcus Stroud,27.0,LDT/RDT,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,5,4.0,1.0,0.0,0.0,
11.0,Fred Taylor,29.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,0.0,0.0,
12.0,Kenny Wright,28.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
13.0,Akin Ayodele,26.0,LLB,1,0,,,,,0,0,0,0,0,0,0.0,6,6.0,0.0,0.0,,
14.0,Tony Gilbert,26.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
15.0,Rob Meier,28.0,DT,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,2,2.0,0.0,1.0,0.0,
16.0,Alvin Pearman,23.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
17.0,Pat Thomas,22.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
18.0,Marcellus Wiley,31.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,2,2,2,1,-8,0,4.0,58,48.0,10.0,6.0,0.0,
