Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:03PM ET,boxscore,W,,1-0,,Denver Broncos,24.0,17.0,18.0,299.0,165.0,134.0,,21.0,363.0,274.0,89.0,2.0,8.84,-1.46,0.77
2,Sun,September 19,4:15PM ET,boxscore,L,,1-1,@,San Diego Chargers,13.0,38.0,20.0,350.0,279.0,71.0,6.0,25.0,477.0,326.0,151.0,3.0,-13.95,-17.88,7.53
3,Sun,September 26,4:05PM ET,boxscore,L,,1-2,,Philadelphia Eagles,3.0,28.0,16.0,191.0,52.0,139.0,1.0,15.0,373.0,267.0,106.0,,-15.58,-10.77,4.17
4,Sun,October 3,4:05PM ET,boxscore,W,,2-2,,Indianapolis Colts,31.0,28.0,20.0,337.0,163.0,174.0,,28.0,406.0,348.0,58.0,2.0,18.39,-14.17,1.29
5,Sun,October 10,1:02PM ET,boxscore,W,,3-2,@,Buffalo Bills,36.0,26.0,21.0,381.0,165.0,216.0,3.0,17.0,306.0,196.0,110.0,,6.06,1.92,4.76
6,Mon,October 18,8:40PM ET,boxscore,L,,3-3,,Tennessee Titans,3.0,30.0,17.0,249.0,173.0,76.0,4.0,20.0,324.0,171.0,153.0,,-10.29,-15.89,1.3
7,Sun,October 24,1:03PM ET,boxscore,L,,3-4,@,Kansas City Chiefs,20.0,42.0,19.0,300.0,216.0,84.0,3.0,25.0,426.0,190.0,236.0,,1.77,-22.78,0.44
8,Sun,October 31,1:05PM ET,boxscore,W,,4-4,@,Dallas Cowboys,35.0,17.0,20.0,387.0,238.0,149.0,1.0,25.0,415.0,365.0,50.0,4.0,15.48,2.83,-0.95
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 14,1:04PM ET,boxscore,W,,5-4,,Houston Texans,31.0,24.0,29.0,491.0,326.0,165.0,,20.0,395.0,314.0,81.0,1.0,24.68,-13.34,-4.02
11,Sun,November 21,1:03PM ET,boxscore,W,,6-4,,Cleveland Browns,24.0,20.0,24.0,371.0,226.0,145.0,6.0,15.0,283.0,195.0,88.0,1.0,-5.22,4.89,4.11
12,Sun,November 28,1:02PM ET,boxscore,L,,6-5,@,New York Giants,20.0,24.0,26.0,328.0,121.0,207.0,2.0,17.0,361.0,226.0,135.0,,3.97,-10.07,0.45
13,Sun,December 5,1:03PM ET,boxscore,W,,7-5,@,Tennessee Titans,17.0,6.0,23.0,377.0,119.0,258.0,,11.0,220.0,163.0,57.0,2.0,9.95,9.75,-7.38
14,Sun,December 12,1:02PM ET,boxscore,W,,8-5,,Oakland Raiders,38.0,31.0,19.0,385.0,151.0,234.0,1.0,21.0,476.0,323.0,153.0,2.0,13.1,-18.85,9.27
15,Sun,December 19,1:02PM ET,boxscore,L,,8-6,@,Indianapolis Colts,24.0,34.0,20.0,356.0,289.0,67.0,2.0,19.0,376.0,221.0,155.0,,1.49,-10.56,1.31
16,Sun,December 26,1:03PM ET,boxscore,L,OT,8-7,,Washington Redskins,17.0,20.0,15.0,336.0,258.0,78.0,2.0,15.0,251.0,172.0,79.0,1.0,-10.87,10.82,-4.68
17,Sun,January 2,4:15PM ET,boxscore,L,,8-8,@,Houston Texans,17.0,34.0,23.0,322.0,124.0,198.0,2.0,22.0,497.0,253.0,244.0,,6.01,-22.44,0.28
