Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Marqise Lee,25.0,WR,16,6,6,35,0,2,66.7,11.0,5.8,2.2,0.4,105,63,851,13.5,3,44,54.3,51.0,3.9,53.2,60.0,8.1,69,12.8,886,3,1,
2.0,Allen Robinson,23.0,WR,16,16,0,0,0,0,,,,0.0,0.0,151,73,883,12.1,6,51,41.7,42.0,4.6,55.2,48.3,5.8,73,12.1,883,6,1,
3.0,T.J. Yeldon,23.0,RB,15,13,130,465,1,21,36.9,16.0,3.6,31.0,8.7,68,50,312,6.2,1,16,38.2,17.0,3.3,20.8,73.5,4.6,180,4.3,777,2,2,
4.0,Chris Ivory,28.0,RB,11,1,117,439,3,21,45.3,42.0,3.8,39.9,10.6,28,20,186,9.3,0,10,42.9,37.0,1.8,16.9,71.4,6.6,137,4.6,625,3,5,
5.0,Allen Hurns,25.0,WR,11,11,0,0,0,0,,,,0.0,0.0,76,35,477,13.6,3,23,39.5,42.0,3.2,43.4,46.1,6.3,35,13.6,477,3,1,
6.0,Blake Bortles,24.0,QB,16,16,58,359,3,20,53.4,27.0,6.2,22.4,3.6,1,1,20,20.0,1,1,100.0,20.0,0.1,1.3,100.0,20.0,59,6.4,379,4,8,
7.0,Julius Thomas,28.0,TE,9,6,0,0,0,0,,,,0.0,0.0,51,30,281,9.4,4,15,41.2,24.0,3.3,31.2,58.8,5.5,30,9.4,281,4,0,
8.0,Bryan Walters,29.0,WR,10,3,1,4,0,1,100.0,4.0,4.0,0.4,0.1,34,24,231,9.6,2,15,61.8,23.0,2.4,23.1,70.6,6.8,25,9.4,235,2,1,
9.0,Corey Grant,25.0,RB,11,1,32,164,1,7,43.8,57.0,5.1,14.9,2.9,7,4,35,8.8,1,2,42.9,15.0,0.4,3.2,57.1,5.0,36,5.5,199,2,0,
10.0,Marcedes Lewis,32.0,TE,10,10,0,0,0,0,,,,0.0,0.0,30,20,169,8.5,1,9,46.7,37.0,2.0,16.9,66.7,5.6,20,8.5,169,1,0,
11.0,Denard Robinson,26.0,WR,13,1,41,144,0,4,41.5,9.0,3.5,11.1,3.2,5,3,22,7.3,0,1,40.0,11.0,0.2,1.7,60.0,4.4,44,3.8,166,0,0,
12.0,Ben Koyack,23.0,TE,14,7,0,0,0,0,,,,0.0,0.0,24,19,161,8.5,1,10,66.7,17.0,1.4,11.5,79.2,6.7,19,8.5,161,1,0,
13.0,Arrelious Benn,28.0,WR,15,0,0,0,0,0,,,,0.0,0.0,10,5,116,23.2,1,3,40.0,51.0,0.3,7.7,50.0,11.6,5,23.2,116,1,0,
14.0,Neal Sterling,24.0,WR,10,1,0,0,0,0,,,,0.0,0.0,16,12,110,9.2,0,6,56.3,17.0,1.2,11.0,75.0,6.9,12,9.2,110,0,0,
15.0,Rashad Greene,24.0,WR,8,0,0,0,0,0,,,,0.0,0.0,8,5,32,6.4,0,1,25.0,9.0,0.6,4.0,62.5,4.0,5,6.4,32,0,4,
16.0,Shane Wynn,24.0,WR,5,0,2,5,0,0,50.0,7.0,2.5,1.0,0.4,3,1,19,19.0,0,1,33.3,19.0,0.2,3.8,33.3,6.3,3,8.0,24,0,0,
17.0,Alex Ellis,23.0,TE,6,3,0,0,0,0,,,,0.0,0.0,4,3,11,3.7,0,0,25.0,6.0,0.5,1.8,75.0,2.8,3,3.7,11,0,0,
18.0,Bronson Hill,23.0,RB,3,0,2,11,0,0,100.0,7.0,5.5,3.7,0.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,2,5.5,11,0,0,
19.0,Tony Washington,24.0,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,9,9.0,0,0,100.0,9.0,0.5,4.5,100.0,9.0,1,9.0,9,0,0,
20.0,Joe Banyard,28.0,RB,1,0,2,7,0,0,0.0,7.0,3.5,7.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,3.5,7,0,0,
21.0,Chad Henne,31.0,QB,1,0,1,-2,0,0,0.0,-2.0,-2.0,-2.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-2.0,-2,0,0,
,Team Totals,,,16,16,392,1631,8,76,43.6,57.0,4.2,101.9,24.5,623,369,3925,10.6,24,208,45.6,51.0,23.1,245.3,59.2,6.3,761,7.3,5556,32,23,
