Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Tyson Campbell,22.0,RCB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0,
2.0,Andre Cisco,22.0,FS,2,2,0,0,0,0,1,0,0,0,0,0,0.0,8,7,1,0,0,0,
3.0,DaVon Hamilton,25.0,NT,2,2,0,0,0,0,2,0,0,0,0,0,0.0,8,3,5,1,1,0,
4.0,Josh Hines-Allen,25.0,LOLB,2,2,0,0,0,0,0,0,0,0,0,0,1.0,11,4,7,1,4,0,
5.0,Rayshawn Jenkins,28.0,SS,2,2,0,0,0,0,1,0,0,0,0,0,0.0,14,8,6,0,0,0,
6.0,Devin Lloyd,24.0,RILB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,13,7,6,1,2,0,
7.0,Foyesade Oluokun,27.0,LILB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,27,12,15,0,2,0,
8.0,Roy Robertson-Harris,29.0,LDE,2,2,0,0,0,0,2,0,0,0,0,0,1.0,14,7,7,5,2,0,
9.0,Travon Walker,22.0,ROLB,2,2,0,0,0,0,1,0,0,0,0,0,0.5,5,2,3,1,3,0,
10.0,Evan Engram,28.0,TE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
11.0,Luke Fortner,24.0,C,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
12.0,Walker Little,23.0,T,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
13.0,Corey Peters,34.0,NT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
14.0,Darious Williams,29.0,LCB,2,1,0,0,0,0,1,0,0,0,0,0,0.0,6,2,4,0,0,0,
15.0,Jamal Agnew,27.0,WR,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
16.0,K'Lavon Chaisson,23.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
17.0,Chris Claybrooks,25.0,CB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
18.0,Folorunso Fatukasi,27.0,RDE,2,0,0,0,0,0,0,0,0,0,0,0,0.5,5,1,4,0,1,0,
19.0,Adam Gotsis,30.0,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
20.0,Tre Herndon,26.0,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,
21.0,Caleb Johnson,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
22.0,Marvin Jones,32.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
23.0,Tim Jones,24.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
24.0,Arden Key,26.0,DE,2,0,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,1,0,
25.0,Chad Muma,23.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
26.0,Shaquille Quarterman,25.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
27.0,Daniel Thomas,24.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
28.0,Andrew Wingard,26.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
,Team Totals,,,2,2,0,0,0,0,10,0,2,0,0,0,3.0,148,77,71,9,16,0,
