Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Travis Etienne,23.0,RB,2,2,30,171,1,9,60.0,25.0,5.7,85.5,15.0,4,4,30,7.5,0,2,100.0,12.0,2.0,15.0,100.0,7.5,34,5.9,201,1,0,
2.0,Zay Jones,27.0,WR,2,2,0,0,0,0,,,,0.0,0.0,20,13,157,12.1,1,5,60.0,39.0,6.5,78.5,65.0,7.9,13,12.1,157,1,0,
3.0,Christian Kirk,26.0,WR,2,2,1,18,0,1,100.0,18.0,18.0,9.0,0.5,28,15,130,8.7,2,8,46.4,17.0,7.5,65.0,53.6,4.6,16,9.3,148,2,0,
4.0,Evan Engram,28.0,TE,2,2,0,0,0,0,,,,0.0,0.0,17,12,124,10.3,1,9,64.7,24.0,6.0,62.0,70.6,7.3,12,10.3,124,1,0,
5.0,Marvin Jones,32.0,WR,2,1,0,0,0,0,,,,0.0,0.0,9,4,50,12.5,1,4,44.4,21.0,2.0,25.0,44.4,5.6,4,12.5,50,1,0,
6.0,Jamycal Hasty,26.0,RB,1,0,4,36,0,1,100.0,23.0,9.0,36.0,4.0,2,1,7,7.0,0,1,50.0,7.0,1.0,7.0,50.0,3.5,5,8.6,43,0,0,
7.0,Trevor Lawrence,23.0,QB,2,2,4,34,0,3,100.0,12.0,8.5,17.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,4,8.5,34,0,0,
8.0,Jamal Agnew,27.0,WR,2,0,1,2,0,0,100.0,2.0,2.0,1.0,0.5,4,3,7,2.3,0,0,0.0,3.0,1.5,3.5,75.0,1.8,4,2.3,9,0,1,
,Team Totals,,,2,2,40,261,1,14,70.0,25.0,6.5,130.5,20.0,84,52,505,9.7,5,29,53.6,39.0,26.0,252.5,61.9,6.0,92,8.3,766,6,1,
