Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Luke Fortner,25.0,OL,17,17,0,0,0,0,0,0,2,0,-8,0,0.0,0,0,0,0,0,0,
2.0,Josh Hines-Allen,26.0,OLB,17,17,1,8,0,8,1,2,0,0,0,0,17.5,66,43,23,17,33,0,PB
3.0,Rayshawn Jenkins,29.0,SS,17,17,2,42,0,24,9,0,0,0,0,0,1.0,101,66,35,7,1,0,
4.0,Foyesade Oluokun,28.0,LB,17,17,1,24,1,24,6,1,0,3,0,0,2.5,173,111,62,8,10,0,
5.0,Calvin Ridley,29.0,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-7
6.0,Roy Robertson-Harris,30.0,DL,17,17,0,0,0,0,1,0,0,0,0,0,3.5,34,16,18,3,11,0,
7.0,Travon Walker,23.0,OLB,17,17,0,0,0,0,2,0,0,1,0,0,10.0,52,27,25,10,19,0,
8.0,Darious Williams,30.0,LCB,17,17,4,72,1,61,19,2,0,0,0,0,0.0,53,44,9,3,0,0,
9.0,Folorunso Fatukasi,28.0,NT,16,16,0,0,0,0,1,0,0,0,0,0,0.0,24,16,8,3,2,0,
10.0,Trevor Lawrence,24.0,QB,16,16,0,0,0,0,0,0,12,3,-10,0,0.0,0,0,0,0,0,0,
11.0,Andre Cisco,23.0,S,15,15,4,68,0,29,5,1,1,0,0,0,0.5,62,42,20,1,1,0,
12.0,Evan Engram,29.0,TE,17,15,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB
13.0,Devin Lloyd,25.0,LB,15,15,0,0,0,0,7,0,0,2,13,0,0.0,127,75,52,2,1,0,
14.0,Christian Kirk,27.0,WR,12,12,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
15.0,Tyson Campbell,23.0,CB,11,11,1,0,0,0,5,1,0,0,0,0,0.0,60,41,19,2,0,0,
16.0,Luke Farrell,26.0,TE,17,8,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
17.0,Adam Gotsis,31.0,DL,17,7,0,0,0,0,4,0,0,0,0,0,1.0,26,18,8,3,7,0,
18.0,Montaric Brown,24.0,CB,12,6,0,0,0,0,4,0,0,0,0,0,0.0,34,25,9,0,0,0,
19.0,Tre Herndon,27.0,CB,16,4,0,0,0,0,9,1,0,0,0,0,0.0,46,31,15,1,3,0,
20.0,Brenton Strange,23.0,TE,14,4,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,
21.0,Antonio Johnson,22.0,S,13,3,2,50,0,27,3,1,0,0,0,0,1.0,17,13,4,0,1,0,
22.0,DaVon Hamilton,26.0,DT,8,2,0,0,0,0,0,0,0,0,0,0,0.0,12,7,5,1,0,0,
23.0,Tim Jones,25.0,WR,17,2,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
24.0,Jeremiah Ledbetter,29.0,DL,17,2,0,0,0,0,1,0,0,1,0,0,0.0,24,7,17,1,1,0,
25.0,Chad Muma,24.0,LB,17,2,0,0,0,0,2,0,0,0,0,0,0.0,15,8,7,0,0,0,
26.0,Andrew Wingard,27.0,S,17,2,1,0,0,0,2,1,0,0,0,0,0.0,45,35,10,1,1,0,
27.0,Jamal Agnew,28.0,WR,11,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
28.0,C.J. Beathard,30.0,QB,7,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
29.0,Parker Washington,21.0,WR,9,1,0,0,0,0,0,0,2,2,-1,0,0.0,0,0,0,0,0,0,
30.0,Yasir Abdullah,23.0,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,
31.0,Tank Bigsby,22.0,RB,17,0,0,0,0,0,0,0,2,1,-9,0,0.0,0,0,0,0,0,0,
32.0,Angelo Blackson,31.0,DT,11,0,0,0,0,0,0,0,0,3,0,0,0.0,13,8,5,2,0,0,
33.0,Tevaughn Campbell,30.0,CB,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
34.0,K'Lavon Chaisson,24.0,OLB,17,0,0,0,0,0,1,0,0,0,0,0,2.0,13,9,4,4,8,0,
35.0,Caleb Johnson,25.0,LB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
36.0,D'Ernest Johnson,27.0,RB,17,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
37.0,Gregory Junior,24.0,CB,9,0,0,0,0,0,1,0,0,0,0,0,0.0,11,7,4,2,0,0,
38.0,Tyler Lacy,24.0,DE,15,0,0,0,0,0,1,0,0,0,0,0,0.0,12,5,7,1,3,0,
39.0,Ross Matiscik,27.0,LS,17,0,0,0,0,0,0,1,0,1,0,0,0.0,8,8,0,0,0,0,"PB,AP-1"
40.0,Brandon McManus,32.0,K,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
41.0,Shaquille Quarterman,26.0,LB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
42.0,Dawuane Smoot,28.0,OLB,12,0,0,0,0,0,0,1,0,0,0,0,1.0,10,8,2,0,4,0,
43.0,Daniel Thomas,25.0,S,15,0,0,0,0,0,0,0,0,0,0,0,0.0,8,7,1,0,0,0,
,Team Totals,,,17,17,16,264,2,61,84,12,28,20,-15,0,40.0,1057,686,371,73,107,0,
