Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,John Browning,29.0,LDT,16,16,0,0,0,0,1,0,0,1,0,0,7.0,39.0,33.0,6.0,9.0,0,
2.0,Duane Clemons,28.0,RDE,16,16,0,0,0,0,1,1,0,1,42,1,2.0,35.0,27.0,8.0,5.0,0,
3.0,Trent Green,32.0,QB,16,16,0,0,0,0,0,0,1,1,-3,0,0.0,0.0,0.0,0.0,0.0,0,
4.0,Mike Maslowski,28.0,RLB,16,16,3,28,0,25,12,2,0,1,0,0,1.0,125.0,93.0,32.0,7.0,0,
5.0,Eric Warfield,26.0,LCB,16,16,4,30,0,19,16,0,1,1,0,0,0.0,64.0,56.0,8.0,0.0,0,
6.0,Brian Waters,25.0,LG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0,
7.0,Eric Hicks,26.0,LDE,16,15,0,0,0,0,3,2,0,1,0,0,9.0,55.0,41.0,14.0,9.0,0,
8.0,Marvcus Patton,35.0,MLB,16,15,2,29,0,25,4,1,0,2,5,0,2.0,93.0,72.0,21.0,8.0,0,
9.0,Priest Holmes,29.0,RB,14,14,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-4,AP OPoY-1"
10.0,William Bartee,25.0,RCB,14,13,0,0,0,0,7,1,0,0,0,0,0.0,84.0,78.0,6.0,1.0,0,
11.0,Greg Wesley,24.0,SS,13,13,6,170,0,50,8,0,0,1,0,0,1.0,64.0,54.0,10.0,2.0,0,
12.0,Tony Richardson,31.0,FB,14,12,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
13.0,Shaunard Harts,24.0,FS,16,11,0,0,0,0,1,4,0,2,11,0,2.0,88.0,77.0,11.0,4.0,0,
14.0,Derrick Ransom,26.0,RDT,13,10,0,0,0,0,1,1,0,0,0,0,0.0,25.0,20.0,5.0,1.0,0,
15.0,Scott Fujita,23.0,LLB,16,9,0,0,0,0,1,0,0,1,0,0,1.0,68.0,61.0,7.0,2.0,0,
16.0,Jason Belser,32.0,FS,16,8,1,45,0,45,1,1,0,2,10,0,0.0,62.0,48.0,14.0,3.0,0,
17.0,Lewis Bush,33.0,LOLB,9,5,0,0,0,0,0,0,0,0,0,0,0.0,25.0,22.0,3.0,3.0,0,
18.0,Ray Crockett,35.0,RCB,15,5,2,0,0,0,10,0,0,0,0,0,1.0,45.0,39.0,6.0,2.0,0,
