Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Shawn Barber,28.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,10.0,0.0,2.0,0.0,
2.0,William Bartee,26.0,DB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,
3.0,John Browning,30.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,4.0,0.0,1.0,0.0,
4.0,Scott Fujita,24.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,
5.0,Eric Hicks,27.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
6.0,Priest Holmes,30.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
7.0,Dexter McCleon,30.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,
8.0,Kawika Mitchell,24.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
9.0,Greg Wesley,25.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
10.0,Jerome Woods,30.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,6.0,0.0,0.0,0.0,
11.0,Clint Finley,26.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
12.0,Montique Sharpe,23.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
13.0,Gary Stills,29.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,1.0,,
14.0,R-Kal Truluck,29.0,DE,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1,1.0,0.0,1.0,0.0,
15.0,Eric Warfield,27.0,LCB,1,0,,,,,2,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
16.0,Jimmy Wilkerson,22.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,2,0,1,0,0,0,1.0,56,54.0,2.0,5.0,0.0,
