Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Larry Johnson,26.0,RB,16,9,336,1750,20,99,53.0,49.0,5.2,109.4,21.0,49,33,343,10.4,1,13,51.0,36.0,2.1,21.4,67.3,7.0,369,5.7,2093,21,5,"PB,AP-2"
2.0,Eddie Kennison,32.0,WR,16,16,7,43,0,1,28.6,23.0,6.1,2.7,0.4,109,68,1102,16.2,5,47,57.8,55.0,4.3,68.9,62.4,10.1,75,15.3,1145,5,1,
3.0,Tony Gonzalez,29.0,TE,16,16,0,0,0,0,,,,0.0,0.0,116,78,905,11.6,2,45,51.7,39.0,4.9,56.6,67.2,7.8,78,11.6,905,2,0,PB
4.0,Priest Holmes,32.0,RB,7,7,119,451,6,30,43.7,35.0,3.8,64.4,17.0,32,21,197,9.4,1,7,43.8,60.0,3.0,28.1,65.6,6.2,140,4.6,648,7,1,
5.0,Samie Parker,24.0,WR,12,9,0,0,0,0,,,,0.0,0.0,58,36,533,14.8,3,27,55.2,49.0,3.0,44.4,62.1,9.2,36,14.8,533,3,2,
6.0,Dante Hall,27.0,WR,16,2,7,11,0,0,42.9,7.0,1.6,0.7,0.4,52,34,436,12.8,3,20,51.9,52.0,2.1,27.3,65.4,8.4,41,10.9,447,3,5,
7.0,Chris Horn,28.0,WR,14,3,0,0,0,0,,,,0.0,0.0,31,18,187,10.4,0,7,48.4,50.0,1.3,13.4,58.1,6.0,18,10.4,187,0,0,
8.0,Marc Boerigter,27.0,WR,10,0,0,0,0,0,,,,0.0,0.0,16,8,119,14.9,0,5,50.0,38.0,0.8,11.9,50.0,7.4,8,14.9,119,0,0,
9.0,Tony Richardson,34.0,FB,16,16,6,20,0,1,50.0,8.0,3.3,1.3,0.4,16,9,68,7.6,1,3,37.5,22.0,0.6,4.3,56.3,4.3,15,5.9,88,1,0,
10.0,Trent Green,35.0,QB,16,16,35,82,0,10,31.4,13.0,2.3,5.1,2.2,0,0,0,,0,0,,,0.0,0.0,,,35,2.3,82,0,8,PB
11.0,Jason Dunn,32.0,TE,16,1,0,0,0,0,,,,0.0,0.0,9,5,53,10.6,0,2,33.3,24.0,0.3,3.3,55.6,5.9,5,10.6,53,0,0,
12.0,Dee Brown,27.0,RB,8,0,7,21,0,0,28.6,7.0,3.0,2.6,0.9,3,3,23,7.7,1,2,100.0,9.0,0.4,2.9,100.0,7.7,10,4.4,44,1,0,
13.0,Kris Wilson,24.0,TE,14,1,1,6,0,0,100.0,6.0,6.0,0.4,0.1,5,3,33,11.0,0,3,60.0,16.0,0.2,2.4,60.0,6.6,4,9.8,39,0,0,
14.0,Ronnie Cruz,24.0,RB,14,0,0,0,0,0,,,,0.0,0.0,1,1,15,15.0,0,1,100.0,15.0,0.1,1.1,100.0,15.0,1,15.0,15,0,0,
15.0,Todd Collins,34.0,QB,1,0,2,-2,0,0,0.0,-1.0,-1.0,-2.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,-1.0,-2,0,0,
,Team Totals,,,16,16,520,2382,26,141,48.5,49.0,4.6,148.9,32.5,497,317,4014,12.7,17,182,52.3,60.0,19.8,250.9,63.8,8.1,837,7.6,6396,43,22,
