Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Eric Berry,24.0,SS,16,16,1,0,0,0,10,0,0,0,0,0,0.0,86,73,13,10.0,0.0,0,PB
2.0,Justin Houston,23.0,LOLB,16,16,1,32,0,32,6,1,0,1,4,0,10.0,66,53,13,13.0,18.0,1,PB
3.0,Derrick Johnson,30.0,RILB,16,16,0,0,0,0,4,3,0,0,0,0,2.0,124,109,15,12.0,5.0,0,PB
4.0,Dontari Poe,22.0,NT,16,16,0,0,0,0,4,0,0,0,0,0,0.0,38,28,10,3.0,3.0,0,
5.0,Eric Winston,29.0,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
6.0,Jamaal Charles,26.0,RB,16,15,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2,AP CPoY-3"
7.0,Brandon Flowers,26.0,LCB,15,15,3,28,0,29,12,0,0,1,64,0,1.0,48,40,8,2.0,1.0,0,
8.0,Tamba Hali,29.0,ROLB,15,15,0,0,0,0,2,1,0,0,0,0,9.0,51,43,8,13.0,16.0,0,PB
9.0,Tyson Jackson,26.0,LDE,15,15,0,0,0,0,3,0,0,0,0,0,3.0,43,31,12,3.0,4.0,0,
10.0,Tony Moeaki,25.0,TE,15,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
11.0,Dwayne Bowe,28.0,WR,13,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
12.0,Jovan Belcher,25.0,LILB,11,10,0,0,0,0,1,0,0,0,0,0,0.0,38,33,5,2.0,0.0,0,
13.0,Ropati Pitoitua,27.0,RDE,15,10,0,0,0,0,1,1,0,0,0,0,2.0,51,32,19,5.0,4.0,0,
14.0,Javier Arenas,25.0,RCB,16,9,0,0,0,0,9,2,2,1,0,0,0.0,61,54,7,1.0,0.0,0,
15.0,Kendrick Lewis,24.0,FS,9,9,0,0,0,0,1,0,0,0,0,0,0.0,26,24,2,0.0,0.0,0,
16.0,Matt Cassel,30.0,QB,9,8,0,0,0,0,0,0,9,1,-8,0,0.0,0,0,0,0.0,0.0,0,
17.0,Steve Maneri,24.0,TE,13,8,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
18.0,Brady Quinn,28.0,QB,10,8,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,,,0,
19.0,Abram Elam,31.0,FS,12,7,0,10,0,10,2,0,0,0,0,0,0.0,35,29,6,1.0,0.0,0,
20.0,Stanford Routt,29.0,RCB,7,7,2,49,0,32,4,1,0,0,0,0,0.0,21,19,2,0.0,0.0,0,
