Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Kendall Fuller,23.0,LCB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,13,9,4,0.0,0.0,0,
2.0,Anthony Hitchens,26.0,LILB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,21,11,10,0.0,0.0,0,
3.0,Justin Houston,29.0,ROLB,2,2,0,0,0,0,1,0,0,1,0,0,2.0,4,4,0,2.0,2.0,0,
4.0,Patrick Mahomes,23.0,QB,2,2,0,0,0,0,0,0,2,2,-7,0,0.0,0,0,0,,,0,
5.0,Steven Nelson,25.0,RCB,2,2,0,0,0,0,2,0,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
6.0,Derrick Nnadi,22.0,NT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,8,1,7,1.0,1.0,0,
7.0,Reggie Ragland,25.0,RILB,2,2,1,0,0,0,1,0,0,0,0,0,0.0,14,9,5,0.0,0.0,0,
8.0,Daniel Sorensen,28.0,DB,2,2,1,24,0,24,1,0,0,0,0,0,0.0,17,12,5,0.0,0.0,0,
9.0,Allen Bailey,29.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0.0,0.0,0,
10.0,Eric Berry,30.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0.0,0.0,0,
11.0,Dee Ford,27.0,LOLB,1,1,0,0,0,0,0,1,0,0,0,0,1.0,4,4,0,1.0,2.0,0,
12.0,Tyreek Hill,24.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
13.0,Jordan Lucas,25.0,DB,2,1,0,0,0,0,1,0,0,0,0,0,0.0,6,2,4,0.0,0.0,0,
14.0,Charvarius Ward,22.0,DB,2,1,0,0,0,0,4,0,0,0,0,0,0.0,11,6,5,0.0,0.0,0,
15.0,Sammy Watkins,25.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
16.0,Gehrig Dieter,25.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
17.0,Justin Hamilton,25.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
18.0,Eric Murray,24.0,SS,2,0,0,0,0,0,0,0,0,0,0,0,0.0,10,7,3,0.0,0.0,0,
19.0,Ben Niemann,23.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
20.0,Anthony Sherman,30.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
21.0,Tremon Smith,22.0,DB,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0.0,0.0,0,
22.0,Breeland Speaks,23.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0.0,0.0,0,
23.0,Charcandrick West,27.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
24.0,Darrel Williams,23.0,RB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
25.0,Xavier Williams,26.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0.0,0.0,0,
26.0,Frank Zombo,31.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
,Team Totals,,,2,2,2,24,0,24,11,1,4,4,-7,0,3.0,145,87,58,4.0,5.0,0,
