Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Jerick McKinnon,29.0,RB,3,3,34,150,0,6,55.9,15.0,4.4,50.0,11.3,17,14,165,11.8,1,11,82.4,23.0,4.7,55.0,82.4,9.7,48,6.6,315,1,1,
2.0,Travis Kelce,32.0,TE,3,3,0,0,0,0,,,,0.0,0.0,27,23,299,13.0,3,17,74.1,48.0,7.7,99.7,85.2,11.1,23,13.0,299,3,0,
3.0,Tyreek Hill,27.0,WR,3,3,1,-2,0,0,0.0,-2.0,-2.0,-0.7,0.3,28,23,285,12.4,3,12,64.3,64.0,7.7,95.0,82.1,10.2,24,11.8,283,3,0,
4.0,Mecole Hardman,23.0,WR,3,1,6,55,1,2,83.3,25.0,9.2,18.3,2.0,9,8,121,15.1,1,5,66.7,44.0,2.7,40.3,88.9,13.4,14,12.6,176,2,1,
5.0,Patrick Mahomes,26.0,QB,3,3,13,117,1,5,76.9,34.0,9.0,39.0,4.3,0,0,0,,0,0,,,0.0,0.0,,,13,9.0,117,1,1,
6.0,Clyde Edwards-Helaire,22.0,RB,2,0,13,96,0,4,69.2,22.0,7.4,48.0,6.5,4,2,13,6.5,0,0,50.0,9.0,1.0,6.5,50.0,3.3,15,7.3,109,0,0,
7.0,Byron Pringle,28.0,WR,3,2,0,0,0,0,,,,0.0,0.0,17,12,82,6.8,3,7,52.9,15.0,4.0,27.3,70.6,4.8,12,6.8,82,3,0,
8.0,Demarcus Robinson,27.0,WR,3,2,0,0,0,0,,,,0.0,0.0,9,4,76,19.0,0,3,44.4,29.0,1.3,25.3,44.4,8.4,4,19.0,76,0,0,
9.0,Noah Gray,22.0,TE,2,0,0,0,0,0,,,,0.0,0.0,4,2,14,7.0,0,1,50.0,8.0,1.0,7.0,50.0,3.5,2,7.0,14,0,0,
10.0,Michael Burton,29.0,RB,2,0,2,4,0,2,100.0,3.0,2.0,2.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,2.0,4,0,0,
11.0,Darrel Williams,26.0,RB,1,0,1,4,0,0,100.0,4.0,4.0,4.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,4.0,4,0,1,
12.0,Blake Bell,30.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,1,3,3.0,0,0,0.0,3.0,1.0,3.0,100.0,3.0,1,3.0,3,0,0,
13.0,Derrick Gore,27.0,RB,1,0,3,3,0,0,33.3,5.0,1.0,3.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,1.0,3,0,0,
14.0,Nick Allegretti,25.0,G,1,0,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,1,1,100.0,1.0,1.0,1.0,100.0,1.0,1,1.0,1,1,0,
,Team Totals,,,3,3,73,427,2,19,64.4,34.0,5.8,142.3,24.3,117,90,1059,11.8,12,57,65.0,64.0,30.0,353.0,76.9,9.1,163,9.1,1486,14,4,
