Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Jay Fiedler,30.0,QB,16,16,0,0,0,0,0.0,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
2.0,Kenny Mixon,26.0,LDE,16,16,1,56,1,56,2.0,0,0,0,0,0,2.0,44.0,25.0,19.0,5.0,0,
3.0,Lamar Smith,31.0,RB,16,16,0,0,0,0,0.0,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
4.0,Patrick Surtain,25.0,LCB,16,16,3,74,1,41,16.0,2,1,2,0,0,1.0,54.0,44.0,10.0,1.0,0,
5.0,Jason Taylor,27.0,RDE,16,16,1,4,0,4,8.0,4,0,4,7,1,8.5,71.0,48.0,23.0,15.0,0,AP-2
6.0,Tim Bowens,28.0,LDT,15,15,0,0,0,0,2.0,0,0,0,0,0,3.0,48.0,30.0,18.0,6.0,0,
7.0,Spencer Folau,28.0,LT,16,15,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Brock Marion,31.0,FS,15,15,5,227,2,100,7.0,2,1,1,1,0,0.0,79.0,55.0,24.0,2.0,0,
9.0,James McKnight,29.0,WR,16,15,0,0,0,0,0.0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Zach Thomas,28.0,MLB,15,15,2,51,1,34,4.0,2,0,0,0,0,3.0,155.0,95.0,60.0,4.0,0,"PB,AP-2"
11.0,Oronde Gadsden,30.0,WR,14,14,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
12.0,Derrick Rodgers,30.0,LLB,14,14,0,0,0,0,7.0,0,0,0,0,0,1.0,71.0,44.0,27.0,3.0,0,
13.0,Sam Madison,27.0,RCB,13,13,2,0,0,0,13.0,0,0,0,0,0,0.0,25.0,18.0,7.0,1.0,0,"PB,AP-2"
14.0,Brian Walker,29.0,SS,13,13,1,0,0,0,5.0,0,0,0,0,0,0.0,82.0,55.0,27.0,2.0,0,
15.0,Morlon Greenwood,23.0,RLB,14,12,0,0,0,0,0.0,0,0,0,0,0,1.5,58.0,30.0,28.0,1.0,0,
16.0,Daryl Gardener,28.0,RDT,8,8,0,0,0,0,2.0,1,0,0,0,0,4.0,28.0,17.0,11.0,6.0,0,
17.0,Chris Chambers,23.0,WR,16,7,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,AP ORoY-3
18.0,Jed Weaver,25.0,TE,16,7,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
19.0,Jermaine Haley,28.0,RDT,12,5,0,0,0,0,1.0,0,0,0,0,0,0.5,18.0,10.0,8.0,1.0,0,
20.0,Arturo Freeman,25.0,DB,16,4,1,0,0,0,7.0,0,0,2,-5,0,1.0,36.0,27.0,9.0,1.0,0,
21.0,Terry Cousin,26.0,DB,16,3,0,0,0,0,5.0,2,0,1,0,0,2.0,61.0,46.0,15.0,5.0,0,
22.0,Ernest Grant,25.0,DT,11,3,0,0,0,0,0.0,0,0,0,0,0,0.5,20.0,12.0,8.0,1.0,0,
23.0,Jamar Fletcher,22.0,DB,14,2,0,0,0,0,0.0,0,0,0,0,0,0.0,10.0,8.0,2.0,0.0,0,
24.0,Scott Galyon,27.0,LB,16,2,1,0,0,0,1.0,0,0,1,0,0,1.0,20.0,10.0,10.0,1.0,0,
