Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Tim Bowens,28.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,2.0,3.0,1.0,0.0,
2.0,Jay Fiedler,30.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
3.0,Scott Galyon,27.0,LB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3,2.0,1.0,1.0,0.0,
4.0,Morlon Greenwood,23.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,4.0,3.0,0.0,0.0,
5.0,Jermaine Haley,28.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
6.0,Sam Madison,27.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,
7.0,Brock Marion,31.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,4.0,4.0,0.0,0.0,
8.0,James McKnight,29.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
9.0,Kenny Mixon,26.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,2.0,4.0,0.0,0.0,
10.0,Patrick Surtain,25.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
11.0,Jason Taylor,27.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,6.0,4.0,2.0,0.0,
12.0,Zach Thomas,28.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,22,14.0,8.0,1.0,0.0,
13.0,Brian Walker,29.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,3.0,4.0,0.0,0.0,
14.0,David Bowens,24.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
15.0,Lorenzo Bromell,26.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,1.0,,
16.0,Terry Cousin,26.0,DB,1,0,,,,,1,0,0,0,0,0,0.0,2,0.0,2.0,0.0,,
17.0,Arturo Freeman,25.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
18.0,Ernest Grant,25.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
19.0,Tommy Hendricks,23.0,LB,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,,0.0,
20.0,Travis Minor,22.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
21.0,Twan Russell,27.0,LB,1,0,,,,,0,1,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,2,1,3,1,0,0,1.0,79,45.0,34.0,6.0,0.0,
