Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:03PM ET,boxscore,L,,0-1,@,Houston Texans,10.0,30.0,15.0,275.0,199.0,76.0,4.0,19.0,337.0,254.0,83.0,,-28.02,-5.26,13.73
2,Sun,September 16,1:02PM ET,boxscore,W,,1-1,,Oakland Raiders,35.0,13.0,24.0,452.0,189.0,263.0,,18.0,396.0,373.0,23.0,1.0,20.54,2.02,2.33
3,Sun,September 23,1:03PM ET,boxscore,L,OT,1-2,,New York Jets,20.0,23.0,23.0,381.0,196.0,185.0,2.0,21.0,388.0,295.0,93.0,2.0,-1.11,3.14,-3.3
4,Sun,September 30,4:05PM ET,boxscore,L,OT,1-3,@,Arizona Cardinals,21.0,24.0,21.0,480.0,394.0,86.0,4.0,19.0,297.0,269.0,28.0,2.0,-1.83,10.41,-14.11
5,Sun,October 7,1:03PM ET,boxscore,W,,2-3,@,Cincinnati Bengals,17.0,13.0,15.0,279.0,211.0,68.0,2.0,18.0,298.0,218.0,80.0,3.0,-6.94,11.99,-2.98
6,Sun,October 14,1:00PM ET,boxscore,W,,3-3,,St. Louis Rams,17.0,14.0,12.0,192.0,156.0,36.0,,22.0,462.0,300.0,162.0,1.0,-0.49,-11.83,17.97
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 28,1:06PM ET,boxscore,W,,4-3,@,New York Jets,30.0,9.0,14.0,236.0,139.0,97.0,1.0,22.0,363.0,258.0,105.0,2.0,-7.89,10.25,16.42
9,Sun,November 4,1:02PM ET,boxscore,L,,4-4,@,Indianapolis Colts,20.0,23.0,20.0,365.0,281.0,84.0,,27.0,516.0,419.0,97.0,,7.11,-22.88,9.19
10,Sun,November 11,1:03PM ET,boxscore,L,,4-5,,Tennessee Titans,3.0,37.0,13.0,255.0,201.0,54.0,4.0,17.0,293.0,116.0,177.0,,-26.0,-4.43,-3.39
11,Thu,November 15,8:29PM ET,boxscore,L,,4-6,@,Buffalo Bills,14.0,19.0,16.0,184.0,124.0,60.0,3.0,18.0,281.0,161.0,120.0,,-10.42,1.11,2.33
12,Sun,November 25,1:03PM ET,boxscore,W,,5-6,,Seattle Seahawks,24.0,21.0,23.0,435.0,246.0,189.0,1.0,16.0,312.0,216.0,96.0,,17.25,-5.06,-9.65
13,Sun,December 2,1:02PM ET,boxscore,L,,5-7,,New England Patriots,16.0,23.0,15.0,277.0,176.0,101.0,1.0,25.0,321.0,213.0,108.0,1.0,-6.58,-0.35,-1.26
14,Sun,December 9,4:05PM ET,boxscore,L,,5-8,@,San Francisco 49ers,13.0,27.0,17.0,227.0,133.0,94.0,1.0,20.0,321.0,166.0,155.0,,-3.94,-10.18,-0.34
15,Sun,December 16,1:03PM ET,boxscore,W,,6-8,,Jacksonville Jaguars,24.0,3.0,26.0,389.0,209.0,180.0,1.0,13.0,299.0,213.0,86.0,,12.45,8.45,-2.26
16,Sun,December 23,1:02PM ET,boxscore,W,,7-8,,Buffalo Bills,24.0,10.0,18.0,301.0,119.0,182.0,,17.0,381.0,227.0,154.0,4.0,8.21,7.95,-2.0
17,Sun,December 30,4:25PM ET,boxscore,L,,7-9,@,New England Patriots,0.0,28.0,16.0,256.0,209.0,47.0,2.0,28.0,443.0,276.0,167.0,,-11.12,-17.21,1.74
