Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Kenyan Drake,24.0,RB,16,7,120,535,4,23,45.0,54.0,4.5,33.4,7.5,73,53,477,9.0,5,23,45.2,52.0,3.3,29.8,72.6,6.5,173,5.8,1012,9,2,
2.0,Frank Gore,35.0,RB,14,14,156,722,0,25,51.3,39.0,4.6,51.6,11.1,16,12,124,10.3,1,8,68.8,24.0,0.9,8.9,75.0,7.8,168,5.0,846,1,1,
3.0,Danny Amendola,33.0,WR,15,15,1,-2,0,0,0.0,-2.0,-2.0,-0.1,0.1,79,59,575,9.7,1,27,54.4,39.0,3.9,38.3,74.7,7.3,60,9.6,573,1,2,
4.0,Kenny Stills,26.0,WR,15,15,0,0,0,0,,,,0.0,0.0,64,37,553,14.9,6,27,53.1,75.0,2.5,36.9,57.8,8.6,37,14.9,553,6,1,
5.0,Albert Wilson,26.0,WR,7,3,8,16,0,2,50.0,5.0,2.0,2.3,1.1,35,26,391,15.0,4,11,45.7,75.0,3.7,55.9,74.3,11.2,34,12.0,407,4,0,
6.0,DeVante Parker,25.0,WR,11,7,0,0,0,0,,,,0.0,0.0,47,24,309,12.9,1,14,36.2,46.0,2.2,28.1,51.1,6.6,24,12.9,309,1,0,
7.0,Jakeem Grant,26.0,WR,10,2,1,5,0,0,100.0,5.0,5.0,0.5,0.1,34,21,268,12.8,2,13,50.0,52.0,2.1,26.8,61.8,7.9,22,12.4,273,2,0,
8.0,Kalen Ballage,23.0,RB,12,0,36,191,1,10,44.4,75.0,5.3,15.9,3.0,11,9,56,6.2,0,2,45.5,31.0,0.8,4.7,81.8,5.1,45,5.5,247,1,1,
9.0,Mike Gesicki,23.0,TE,16,7,0,0,0,0,,,,0.0,0.0,32,22,202,9.2,0,9,46.9,27.0,1.4,12.6,68.8,6.3,22,9.2,202,0,1,
10.0,Ryan Tannehill,30.0,QB,11,11,32,145,0,9,40.6,20.0,4.5,13.2,2.9,1,1,3,3.0,1,1,100.0,3.0,0.1,0.3,100.0,3.0,33,4.5,148,1,5,
11.0,Leonte Carroo,24.0,WR,9,0,1,14,0,1,0.0,14.0,14.0,1.6,0.1,4,2,94,47.0,1,2,50.0,74.0,0.2,10.4,50.0,23.5,3,36.0,108,1,0,
12.0,Brandon Bolden,28.0,RB,16,0,8,91,2,4,62.5,54.0,11.4,5.7,0.5,3,3,13,4.3,1,1,66.7,9.0,0.2,0.8,100.0,4.3,11,9.5,104,3,1,
13.0,Nick O'Leary,26.0,TE,12,7,0,0,0,0,,,,0.0,0.0,10,8,86,10.8,1,6,80.0,19.0,0.7,7.2,80.0,8.6,8,10.8,86,1,0,
14.0,Brice Butler,28.0,WR,6,1,0,0,0,0,,,,0.0,0.0,9,6,60,10.0,1,4,55.6,23.0,1.0,10.0,66.7,6.7,6,10.0,60,1,0,
15.0,Durham Smythe,23.0,TE,15,2,0,0,0,0,,,,0.0,0.0,11,6,50,8.3,0,2,54.5,21.0,0.4,3.3,54.5,4.5,6,8.3,50,0,0,
16.0,A.J. Derby,27.0,TE,4,0,0,0,0,0,,,,0.0,0.0,5,3,48,16.0,1,3,60.0,19.0,0.8,12.0,60.0,9.6,3,16.0,48,1,0,
17.0,Brock Osweiler,28.0,QB,7,5,8,21,0,1,12.5,7.0,2.6,3.0,1.1,0,0,0,,0,0,,,0.0,0.0,,,8,2.6,21,0,1,
18.0,Isaiah Ford,22.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,371,1738,7,75,46.9,75.0,4.7,108.6,23.2,435,292,3309,11.3,26,153,50.1,75.0,18.3,206.8,67.1,7.6,663,7.6,5047,33,15,
