Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Eli Apple,28.0,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,1,0,0,
2.0,DeShon Elliott,26.0,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,3,6,0,0,0,
3.0,Alec Ingold,27.0,FB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
4.0,Melvin Ingram,34.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
5.0,Brandon Jones,25.0,SS,1,1,0,0,0,0,0,1,0,0,0,0,0.0,8,4,4,0,1,0,
6.0,Kader Kohou,25.0,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,0,
7.0,David Long,27.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,1,1,0,
8.0,Emmanuel Ogbah,30.0,NT,1,1,0,0,0,0,1,0,0,0,0,0,0.0,4,2,2,0,0,0,
9.0,Jalen Ramsey,29.0,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,4,1,1,0,0,
10.0,Duke Riley,29.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,10,2,8,0,1,0,
11.0,Zach Sieler,28.0,DT,1,1,0,0,0,0,1,0,0,0,0,0,0.0,4,0,4,0,1,0,
12.0,Christian Wilkins,28.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,1,0,
13.0,Ethan Bonner,24.0,CB,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0,0,0,
14.0,Chris Brooks,23.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
15.0,Raekwon Davis,26.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
16.0,Da'Shawn Hand,28.0,DT,1,0,0,0,0,0,0,0,0,1,1,0,0.0,3,1,2,0,0,0,
17.0,Justin Houston,34.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
18.0,Malik Reed,27.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,1,0,0,
19.0,Channing Tindall,23.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
,Team Totals,,,1,1,0,0,0,0,3,2,0,1,1,0,0.0,80,39,41,4,5,0,
