Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Tyreek Hill,29.0,WR,1,1,0,0,0,0,,,,0.0,0.0,8,5,62,12.4,1,1,37.5,53.0,5.0,62.0,62.5,7.8,5,12.4,62,1,0,
2.0,Jaylen Waddle,25.0,WR,1,1,1,9,0,0,100.0,9.0,9.0,9.0,1.0,5,2,31,15.5,0,2,40.0,17.0,2.0,31.0,40.0,6.2,3,13.3,40,0,0,
3.0,Cedrick Wilson Jr.,28.0,WR,1,0,0,0,0,0,,,,0.0,0.0,7,3,37,12.3,0,2,28.6,19.0,3.0,37.0,42.9,5.3,3,12.3,37,0,0,
4.0,River Cracraft,29.0,WR,1,0,0,0,0,0,,,,0.0,0.0,3,2,33,16.5,0,2,66.7,19.0,2.0,33.0,66.7,11.0,2,16.5,33,0,0,
5.0,De'Von Achane,22.0,RB,1,0,6,9,0,1,16.7,3.0,1.5,9.0,6.0,6,3,21,7.0,0,1,33.3,11.0,3.0,21.0,50.0,3.5,9,3.3,30,0,0,
6.0,Raheem Mostert,31.0,RB,1,1,8,33,0,2,50.0,8.0,4.1,33.0,8.0,2,1,-3,-3.0,0,0,0.0,-3.0,1.0,-3.0,50.0,-1.5,9,3.3,30,0,0,
7.0,Tua Tagovailoa,25.0,QB,1,1,3,25,0,2,66.7,14.0,8.3,25.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,8.3,25,0,0,
8.0,Durham Smythe,28.0,TE,1,1,0,0,0,0,,,,0.0,0.0,4,3,12,4.0,0,0,25.0,5.0,3.0,12.0,75.0,3.0,3,4.0,12,0,0,
9.0,Jeff Wilson,28.0,RB,1,0,0,0,0,0,,,,0.0,0.0,2,1,6,6.0,0,0,0.0,6.0,1.0,6.0,50.0,3.0,1,6.0,6,0,0,
10.0,Braxton Berrios,28.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,1,1,18,76,0,5,44.4,14.0,4.2,76.0,18.0,38,20,199,10.0,1,8,31.6,53.0,20.0,199.0,52.6,5.2,38,7.2,275,1,0,
