Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,De'Von Achane,24.0,RB,7,7,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
2.0,Jordyn Brooks,28.0,LB,7,7,0,0,0,0,0,0,0,1,2,0,1.5,75,46,29,3,2,0,
3.0,Bradley Chubb,29.0,LB,7,7,0,0,0,0,0,1,0,1,2,0,4.0,20,13,7,5,7,0,
4.0,Minkah Fitzpatrick,29.0,S,7,7,1,7,0,7,5,0,0,1,0,0,0.0,42,30,12,0,0,0,
5.0,Jack Jones,28.0,CB,7,7,0,0,0,0,4,1,0,0,0,0,0.0,30,20,10,1,0,0,
6.0,Patrick Paul,24.0,OT,7,7,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
7.0,Jaelan Phillips,26.0,LB,7,7,0,0,0,0,0,0,0,1,4,0,2.0,19,11,8,2,4,0,
8.0,Zach Sieler,30.0,DT,7,7,0,0,0,0,0,0,0,0,0,0,0.0,23,15,8,3,3,0,
9.0,Tua Tagovailoa,27.0,QB,7,7,0,0,0,0,0,0,6,3,-20,0,0.0,0,0,0,0,0,0,
10.0,Larry Borom,26.0,OL,7,6,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
11.0,Tyrel Dodson,27.0,LB,6,6,0,0,0,0,1,1,0,0,0,0,3.0,54,34,20,5,4,0,
12.0,Jordan Phillips,21.0,DT,7,6,0,0,0,0,0,0,0,0,0,0,0.0,14,3,11,0,0,0,
13.0,Ashtyn Davis,29.0,S,7,5,0,0,0,0,1,1,0,0,0,0,0.0,26,19,7,2,0,0,
14.0,Rasul Douglas,30.0,CB,7,5,0,0,0,0,4,1,0,0,0,0,1.0,27,19,8,1,2,0,
15.0,Kenneth Grant,22.0,DT,7,3,0,0,0,0,1,0,0,0,0,0,1.5,17,9,8,2,2,0,
16.0,Benito Jones,28.0,DT,6,2,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
17.0,Ifeatu Melifonwu,26.0,S,6,2,0,0,0,0,0,0,0,0,0,0,0.0,17,10,7,0,0,0,
18.0,Dante Trader,22.0,S,7,2,0,0,0,0,0,1,0,1,0,0,0.0,14,9,5,0,0,0,
19.0,K.J. Britt,26.0,LB,7,1,0,0,0,0,0,0,0,0,0,0,0.0,20,9,11,0,0,0,
20.0,Matthew Butler,26.0,DT,7,1,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,1,0,
21.0,Storm Duck,25.0,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,
22.0,Willie Gay Jr.,27.0,LB,7,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,1,0,0,
23.0,Nick Westbrook-Ikhine,28.0,WR,7,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
24.0,Cornell Armstrong,30.0,CB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
25.0,Ethan Bonner,26.0,CB,4,0,0,0,0,0,1,0,0,0,0,0,0.0,4,3,1,1,0,0,
26.0,Julius Brents,25.0,CB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
27.0,Elijah Campbell,30.0,DB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
28.0,Joe Cardona,33.0,LS,7,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
29.0,Jordan Colbert,25.0,S,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
30.0,Tanner Conner,27.0,TE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
31.0,D'Wayne Eskridge,28.0,WR,7,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,
32.0,Quinn Ewers,22.0,QB,1,0,0,0,0,0,0,0,2,1,-3,0,0.0,0,0,0,0,0,0,
33.0,Cameron Goode,27.0,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,0,0,0,
34.0,Ollie Gordon,21.0,RB,7,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
35.0,Matt Judon,33.0,OLB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,1,0,
36.0,Jason Marshall,23.0,CB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,1,0,
37.0,Riley Patterson,26.0,K,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
38.0,Chop Robinson,22.0,LB,7,0,0,0,0,0,0,0,0,0,0,0,1.0,7,6,1,2,1,0,
,Team Totals,,,7,7,1,7,0,7,18,6,10,13,-15,0,14.0,462,286,176,28,28,0,
