Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Daunte Culpepper,23.0,QB,2,2,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,,,,0.0,
2.0,Chris Hovan,22.0,LDT,2,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,7,3.0,4.0,1.0,0.0,
3.0,Ed McDaniel,31.0,RLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,16,10.0,6.0,2.0,0.0,
4.0,John Randle,33.0,LDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,6,6.0,0.0,2.0,0.0,
5.0,Dwayne Rudd,24.0,LLB,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,19,14.0,5.0,1.0,0.0,
6.0,Wasswa Serwanga,24.0,DB,2,2,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.0,11,8.0,3.0,0.0,0.0,
7.0,Fernando Smith,29.0,DE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,11,8.0,3.0,0.0,0.0,
8.0,Robert Tate,27.0,RCB,2,2,2.0,5.0,0.0,4.0,2,1,0,0,0,0,0.0,8,7.0,1.0,0.0,0.0,
9.0,Tony Williams,25.0,RDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,4.0,3.0,2.0,0.0,
10.0,Kailee Wong,24.0,MLB,2,2,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0.0,18,12.0,6.0,0.0,0.0,
11.0,Antonio Banks,27.0,DB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
12.0,Tyrone Carter,24.0,FS,2,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,12,9.0,3.0,0.0,0.0,
13.0,Robert Griffith,30.0,SS,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,17,11.0,6.0,2.0,0.0,
14.0,Orlando Thomas,28.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
15.0,Chris Walsh,32.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,0.0,
16.0,Pete Bercich,29.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
17.0,John Burrough,28.0,LDE,2,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,7,6.0,1.0,2.0,0.0,
18.0,Lemanski Hall,30.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,6,4.0,2.0,0.0,,
19.0,Don Morgan,25.0,DB,1,0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
20.0,Harold Morrow,27.0,FB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,0.0,
21.0,Jim Nelson,25.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
22.0,Mitch Palmer,27.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
23.0,Bryce Paup,32.0,LB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,
24.0,Talance Sawyer,24.0,RDE,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
25.0,Keith Thibodeaux,26.0,DB,1,0,,,,,1,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
26.0,Moe Williams,26.0,RB,2,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,2,1.0,1.0,0.0,0.0,
27.0,Kenny Wright,23.0,LCB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,2,2,4.0,7.0,0.0,4.0,14,1,3,0,0,0,3.0,165,117.0,48.0,12.0,0.0,
