Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,4:15PM ET,boxscore,W,,1-0,,Dallas Cowboys,35.0,17.0,23.0,415.0,279.0,136.0,,27.0,423.0,352.0,71.0,2.0,29.8,-4.13,-6.41
2,Mon,September 20,9:09PM ET,boxscore,L,,1-1,@,Philadelphia Eagles,16.0,27.0,25.0,410.0,332.0,78.0,2.0,19.0,317.0,226.0,91.0,1.0,5.71,-11.97,-8.47
3,Sun,September 26,1:00PM ET,boxscore,W,,2-1,,Chicago Bears,27.0,22.0,24.0,443.0,350.0,93.0,2.0,24.0,385.0,239.0,146.0,1.0,7.07,-3.68,3.81
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 10,1:02PM ET,boxscore,W,OT,3-1,@,Houston Texans,34.0,28.0,27.0,510.0,388.0,122.0,,19.0,410.0,358.0,52.0,,20.93,-12.31,-5.75
6,Sun,October 17,8:36PM ET,boxscore,W,,4-1,@,New Orleans Saints,38.0,31.0,29.0,605.0,417.0,188.0,3.0,25.0,385.0,226.0,159.0,1.0,28.43,-11.94,-5.28
7,Sun,October 24,1:00PM ET,boxscore,W,,5-1,,Tennessee Titans,20.0,3.0,20.0,313.0,161.0,152.0,,16.0,243.0,188.0,55.0,4.0,1.09,20.85,-5.9
8,Sun,October 31,1:00PM ET,boxscore,L,,5-2,,New York Giants,13.0,34.0,15.0,324.0,231.0,93.0,3.0,22.0,283.0,115.0,168.0,,-9.29,-7.64,-6.52
9,Mon,November 8,9:00PM ET,boxscore,L,,5-3,@,Indianapolis Colts,28.0,31.0,15.0,292.0,154.0,138.0,1.0,26.0,408.0,264.0,144.0,,11.05,-23.76,8.71
10,Sun,November 14,4:15PM ET,boxscore,L,,5-4,@,Green Bay Packers,31.0,34.0,22.0,416.0,345.0,71.0,,24.0,442.0,236.0,206.0,1.0,18.35,-17.48,-2.93
11,Sun,November 21,1:00PM ET,boxscore,W,,6-4,,Detroit Lions,22.0,19.0,22.0,319.0,212.0,107.0,1.0,13.0,213.0,67.0,146.0,1.0,7.28,7.01,-11.12
12,Sun,November 28,1:00PM ET,boxscore,W,,7-4,,Jacksonville Jaguars,27.0,16.0,24.0,330.0,218.0,112.0,2.0,18.0,379.0,225.0,154.0,2.0,9.12,6.3,-6.06
13,Sun,December 5,1:03PM ET,boxscore,L,,7-5,@,Chicago Bears,14.0,24.0,24.0,391.0,245.0,146.0,4.0,21.0,318.0,174.0,144.0,1.0,-4.01,-3.83,-2.53
14,Sun,December 12,1:00PM ET,boxscore,L,,7-6,,Seattle Seahawks,23.0,27.0,22.0,374.0,261.0,113.0,2.0,26.0,455.0,317.0,138.0,2.0,5.85,-12.18,8.03
15,Sun,December 19,1:03PM ET,boxscore,W,,8-6,@,Detroit Lions,28.0,27.0,21.0,461.0,370.0,91.0,1.0,24.0,463.0,350.0,113.0,3.0,18.84,-13.99,2.71
16,Fri,December 24,3:00PM ET,boxscore,L,,8-7,,Green Bay Packers,31.0,34.0,17.0,416.0,285.0,131.0,,26.0,460.0,358.0,102.0,1.0,17.84,-17.03,-3.81
17,Sun,January 2,1:04PM ET,boxscore,L,,8-8,@,Washington Redskins,18.0,21.0,21.0,320.0,268.0,52.0,,20.0,318.0,201.0,117.0,2.0,5.92,-5.93,-5.27
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 9,4:39PM ET,boxscore,W,,9-8,@,Green Bay Packers,31.0,17.0,18.0,384.0,261.0,123.0,,24.0,306.0,201.0,105.0,4.0,12.96,3.32,-2.82
Division,Sun,January 16,1:06PM ET,boxscore,L,,9-9,@,Philadelphia Eagles,14.0,27.0,21.0,385.0,288.0,97.0,2.0,23.0,395.0,286.0,109.0,1.0,-1.99,-14.44,-2.56
