Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Corey Chavous,29.0,SS,16,16,2,0,0,0,5.0,0,0,0,0,0,0.0,71.0,54.0,17.0,0.0,0,
2.0,Jim Kleinsasser,28.0,TE,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Bryant McKinnie,26.0,LT,16,16,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
4.0,Pat Williams,33.0,LDT,16,16,0,0,0,0,1.0,1,0,1,0,0,1.5,67.0,42.0,25.0,7.0,0,
5.0,Antoine Winfield,28.0,LCB,16,16,4,5,0,4,8.0,0,0,2,0,0,0.0,98.0,89.0,9.0,1.0,0,
6.0,Darrion Scott,24.0,LDE/RDE,16,15,0,0,0,0,3.0,0,0,1,1,0,4.0,58.0,39.0,19.0,4.0,0,
7.0,Sam Cowart,30.0,MLB,15,14,0,0,0,0,2.0,0,0,0,0,0,2.0,84.0,71.0,13.0,7.0,0,
8.0,E.J. Henderson,25.0,RLB,15,14,0,0,0,0,1.0,1,0,1,0,0,1.0,76.0,54.0,22.0,2.0,0,
9.0,Darren Sharper,30.0,FS,14,14,9,276,2,92,16.0,1,1,1,14,0,0.0,52.0,42.0,10.0,3.0,0,"PB,AP-2"
10.0,Kevin Williams,25.0,RDT,14,14,0,0,0,0,7.0,0,0,1,6,0,4.0,42.0,31.0,11.0,6.0,0,
