Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jared Allen,26.0,RDE,1,1,0,0,0,0,1,1,0,0,0,0,2.0,3,3,0,2.0,2.0,0,
2.0,Matt Birk,32.0,C,1,1,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,,,0,
3.0,Fred Evans,25.0,DT,1,1,0,0,0,0,0,0,0,1,0,0,0.0,3,2,1,0.0,0.0,0,
4.0,Chad Greenway,25.0,LLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,10,9,1,1.0,0.0,0,
5.0,Cedric Griffin,26.0,RCB,1,1,1,0,0,0,1,0,0,0,0,0,0.0,6,5,1,0.0,0.0,0,
6.0,Tarvaris Jackson,25.0,QB,1,1,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,,,0,
7.0,Ben Leber,30.0,RLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,1.0,0.0,0,
8.0,Brian Robison,25.0,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,2.0,0,
9.0,Benny Sapp,27.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0.0,0.0,0,
10.0,Darren Sharper,33.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
11.0,Kevin Williams,28.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,1.0,0,
12.0,Madieu Williams,27.0,FS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,2.0,0.0,0,
13.0,Antoine Winfield,31.0,LCB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,8,5,3,0.0,0.0,0,
14.0,Vinny Ciurciu,28.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
15.0,Eric Frampton,24.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
16.0,Napoleon Harris,29.0,MLB,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1.0,2.0,0,
17.0,Erin Henderson,22.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
18.0,David Herron,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
19.0,Tyrell Johnson,23.0,FS,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
20.0,Marcus McCauley,25.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
21.0,Ellis Wyms,29.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
,Team Totals,,,1,1,1,0,0,0,3,1,2,2,-3,0,3.0,63,50,13,7.0,7.0,0,
