Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Chester Taylor,29.0,RB,1,0,12,48,0,2,58.3,11.0,4.0,48.0,12.0,6,5,36,7.2,0,1,50.0,10.0,5.0,36.0,83.3,6.0,17,4.9,84,0,0,
2.0,Adrian Peterson,23.0,RB,1,1,20,83,2,2,35.0,40.0,4.2,83.0,20.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,20,4.2,83,2,0,
3.0,Bernard Berrian,28.0,WR,1,1,0,0,0,0,,,,0.0,0.0,7,2,36,18.0,0,2,28.6,27.0,2.0,36.0,28.6,5.1,2,18.0,36,0,0,
4.0,Jim Kleinsasser,31.0,TE,1,1,0,0,0,0,,,,0.0,0.0,4,2,34,17.0,0,2,50.0,17.0,2.0,34.0,50.0,8.5,2,17.0,34,0,0,
5.0,Sidney Rice,22.0,WR,1,0,0,0,0,0,,,,0.0,0.0,7,2,27,13.5,0,2,28.6,14.0,2.0,27.0,28.6,3.9,2,13.5,27,0,0,
6.0,Bobby Wade,27.0,WR,1,0,0,0,0,0,,,,0.0,0.0,7,3,24,8.0,0,2,28.6,11.0,3.0,24.0,42.9,3.4,3,8.0,24,0,0,
7.0,Tarvaris Jackson,25.0,QB,1,1,2,17,0,1,50.0,17.0,8.5,17.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,8.5,17,0,1,
8.0,Visanthe Shiancoe,28.0,TE,1,1,0,0,0,0,,,,0.0,0.0,3,1,7,7.0,0,0,0.0,7.0,1.0,7.0,33.3,2.3,1,7.0,7,0,0,
,Team Totals,,,1,1,34,148,2,5,44.1,40.0,4.4,148.0,34.0,35,15,164,10.9,0,9,31.4,27.0,15.0,164.0,42.9,4.7,49,6.4,312,2,1,
