Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jared Allen,29.0,RDE,16,16,1.0,14.0,0.0,14.0,3,4,0,4,6,0,22.0,66,48,18,21.0,32.0,1.0,"PB,AP-1,AP DPoY-2"
2.0,Chad Greenway,28.0,LLB,16,16,0.0,0.0,0.0,0.0,3,0,0,1,0,0,2.0,154,89,65,6.0,4.0,0.0,PB
3.0,Phil Loadholt,25.0,RT,16,16,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
4.0,Brian Robison,28.0,LDE,16,16,0.0,0.0,0.0,0.0,1,3,0,2,0,0,8.0,44,27,17,6.0,11.0,0.0,
5.0,Jamarca Sanford,26.0,SS,15,15,2.0,69.0,0.0,52.0,5,1,0,2,3,0,0.0,75,46,29,1.0,2.0,0.0,
6.0,Cedric Griffin,29.0,RCB,16,14,1.0,0.0,0.0,0.0,9,3,0,0,0,0,0.0,67,55,12,1.0,0.0,0.0,
7.0,Percy Harvin,23.0,WR,16,14,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,
8.0,E.J. Henderson,31.0,MLB,16,14,0.0,0.0,0.0,0.0,3,3,0,0,0,0,2.0,109,80,29,8.0,4.0,0.0,
9.0,Kevin Williams,31.0,RDT,14,14,0.0,0.0,0.0,0.0,2,1,0,0,0,0,5.0,38,25,13,9.0,9.0,0.0,
10.0,Remi Ayodele,28.0,LDT,16,13,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.5,15,4,11,1.0,3.0,0.0,
11.0,Anthony Herrera,31.0,RG,12,12,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,,,0.0,
12.0,Adrian Peterson,26.0,RB,12,12,0.0,0.0,0.0,0.0,0,0,1,3,0,0,0.0,0,0,0,0.0,0.0,0.0,
13.0,Erin Henderson,25.0,RLB,15,11,0.0,0.0,0.0,0.0,2,2,0,0,0,0,1.5,70,44,26,7.0,3.0,0.0,
14.0,Christian Ponder,23.0,QB,11,10,0.0,0.0,0.0,0.0,0,0,6,0,-9,0,0.0,0,0,0,0.0,0.0,0.0,
15.0,Husain Abdullah,26.0,FS,9,9,1.0,32.0,0.0,32.0,5,0,0,0,0,0,1.0,49,44,5,3.0,1.0,0.0,
16.0,Asher Allen,23.0,LCB,12,9,1.0,3.0,0.0,3.0,3,0,0,0,0,0,0.0,49,45,4,0.0,0.0,0.0,
17.0,Michael Jenkins,29.0,WR,11,7,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,
18.0,Devin Aromashodu,27.0,WR,16,6,0.0,0.0,0.0,0.0,0,0,1,1,5,0,0.0,3,3,0,0.0,0.0,0.0,
19.0,Donovan McNabb,35.0,QB,6,6,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,
20.0,Toby Gerhart,24.0,RB,16,5,0.0,0.0,0.0,0.0,0,0,1,2,0,0,0.0,1,1,0,0.0,0.0,0.0,
21.0,Mistral Raymond,24.0,FS,10,5,1.0,31.0,0.0,31.0,3,0,0,1,26,0,0.0,22,10,12,0.0,1.0,0.0,
22.0,Antoine Winfield,34.0,LCB,5,5,1.0,3.0,0.0,3.0,1,1,0,0,0,0,1.0,40,34,6,5.0,1.0,0.0,
23.0,Chris Cook,24.0,DB,6,3,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.0,20,17,3,1.0,0.0,0.0,
24.0,Letroy Guion,24.0,DT,16,3,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,21,14,7,4.0,2.0,0.0,
25.0,Tyrell Johnson,26.0,DB,11,3,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,28,21,7,0.0,0.0,0.0,
26.0,Benny Sapp,30.0,DB,7,3,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,25,18,7,2.0,0.0,0.0,
27.0,Marcus Sherels,24.0,DB,16,3,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.0,27,21,6,1.0,1.0,0.0,
28.0,Christian Ballard,22.0,DT,16,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,13,6,7,2.0,2.0,0.0,
29.0,Brandon Burton,22.0,DB,10,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,7,1,0.0,0.0,0.0,
30.0,Ryan D'Imperio,24.0,LB,12,1,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,8,7,1,0.0,0.0,0.0,
31.0,Kenny Onatolu,29.0,LB,16,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14,12,2,0.0,0.0,0.0,
32.0,Joe Webb,25.0,QB,11,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,,,0.0,
33.0,Adrian Awasom,28.0,DE,1,0,,,,,0,0,0,0,0,0,,3,1,2,0.0,0.0,,
34.0,Lorenzo Booker,27.0,RB,15,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.0,2,2,0,0.0,0.0,0.0,
35.0,Greg Camarillo,29.0,WR,13,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0.0,
36.0,Larry Dean,23.0,LB,16,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9,8,1,0.0,0.0,0.0,
37.0,Fred Evans,28.0,DT,16,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,22,13,9,3.0,3.0,0.0,
38.0,Eric Frampton,27.0,DB,16,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,20,17,3,0.0,0.0,0.0,
39.0,Everson Griffen,24.0,DE,16,0,0.0,0.0,0.0,0.0,2,1,0,1,9,0,4.0,21,15,6,3.0,7.0,0.0,
40.0,Matt Katula,29.0,LS,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0.0,
41.0,Chris Kluwe,30.0,P,16,0,0.0,0.0,0.0,0.0,0,0,1,0,-6,0,0.0,2,2,0,0.0,0.0,0.0,
42.0,Cullen Loeffler,30.0,LS,11,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
43.0,Ryan Longwell,37.0,K,16,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,3,3,0,0.0,0.0,0.0,
44.0,Jarrad Page,27.0,DB,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0.0,
45.0,Allen Reisner,23.0,TE,6,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
46.0,Andrew Sendejo,24.0,DB,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0.0,
,Team Totals,,,16,16,8.0,152.0,0.0,52.0,53,19,20,23,34,0,49.0,1058,747,311,84.0,86.0,1.0,
