Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Adam Thielen,27.0,WR,16,16,1,11,0,1,100.0,11.0,11.0,0.7,0.1,142,91,1276,14.0,4,59,52.8,65.0,5.7,79.8,64.1,9.0,92,14.0,1287,4,3,"PB,AP-2"
2.0,Jerick McKinnon,25.0,RB,16,1,150,570,3,24,40.0,58.0,3.8,35.6,9.4,68,51,421,8.3,2,20,44.1,41.0,3.2,26.3,75.0,6.2,201,4.9,991,5,3,
3.0,Latavius Murray,27.0,RB,16,11,216,842,8,43,43.1,46.0,3.9,52.6,13.5,17,15,103,6.9,0,4,52.9,28.0,0.9,6.4,88.2,6.1,231,4.1,945,8,1,
4.0,Stefon Diggs,24.0,WR,14,14,8,13,0,1,37.5,9.0,1.6,0.9,0.6,95,64,849,13.3,8,42,58.9,59.0,4.6,60.6,67.4,8.9,72,12.0,862,8,0,
5.0,Kyle Rudolph,28.0,TE,16,16,0,0,0,0,,,,0.0,0.0,81,57,532,9.3,8,32,59.3,34.0,3.6,33.3,70.4,6.6,57,9.3,532,8,0,PB
6.0,Dalvin Cook,22.0,RB,4,4,74,354,2,16,51.4,33.0,4.8,88.5,18.5,16,11,90,8.2,0,3,43.8,36.0,2.8,22.5,68.8,5.6,85,5.2,444,2,1,
7.0,Laquon Treadwell,22.0,WR,16,7,0,0,0,0,,,,0.0,0.0,35,20,200,10.0,0,12,42.9,25.0,1.3,12.5,57.1,5.7,20,10.0,200,0,1,
8.0,Jarius Wright,28.0,WR,16,0,0,0,0,0,,,,0.0,0.0,25,18,198,11.0,2,13,60.0,30.0,1.1,12.4,72.0,7.9,18,11.0,198,2,0,
9.0,Case Keenum,29.0,QB,15,14,40,160,1,13,42.5,22.0,4.0,10.7,2.7,0,0,0,,0,0,,,0.0,0.0,,,40,4.0,160,1,1,AP CPoY-2
10.0,David Morgan,24.0,TE,15,6,0,0,0,0,,,,0.0,0.0,12,10,95,9.5,1,5,66.7,23.0,0.7,6.3,83.3,7.9,10,9.5,95,1,0,
11.0,C.J. Ham,24.0,RB,16,1,7,13,1,5,71.4,3.0,1.9,0.8,0.4,8,7,68,9.7,0,3,62.5,12.0,0.4,4.3,87.5,8.5,14,5.8,81,1,0,
12.0,Michael Floyd,28.0,WR,11,1,0,0,0,0,,,,0.0,0.0,17,10,78,7.8,0,3,47.1,19.0,0.9,7.1,58.8,4.6,10,7.8,78,0,0,
13.0,Blake Bell,26.0,TE,13,3,0,0,0,0,,,,0.0,0.0,4,3,19,6.3,0,1,50.0,12.0,0.2,1.5,75.0,4.8,3,6.3,19,0,0,
14.0,Sam Bradford,30.0,QB,2,2,2,-3,0,0,0.0,-1.0,-1.5,-1.5,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,-1.5,-3,0,0,
15.0,Teddy Bridgewater,25.0,QB,1,0,3,-3,0,0,0.0,-1.0,-1.0,-3.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,-1.0,-3,0,0,
,Team Totals,,,16,16,501,1957,15,103,43.3,58.0,3.9,122.3,31.3,520,357,3929,11.0,25,197,53.5,65.0,22.3,245.6,68.7,7.6,858,6.9,5886,40,10,
