Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,La'Roi Glover,26.0,RDT,2,2,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,6,6.0,0.0,0.0,0.0,
2.0,Norman Hand,28.0,LDT,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,9,5.0,4.0,1.0,0.0,
3.0,Darren Howard,24.0,LDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,1.0,0.0,
4.0,Joe Johnson,28.0,RDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,6.0,0.0,0.0,0.0,
5.0,Sammy Knight,25.0,SS,2,2,2.0,56.0,0.0,52.0,4,0,1,0,0,0,0.0,9,4.0,5.0,0.0,0.0,
6.0,Kevin Mathis,26.0,LCB,2,2,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,9,6.0,3.0,0.0,0.0,
7.0,Alex Molden,27.0,LCB,2,2,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0.0,6,5.0,1.0,0.0,0.0,
8.0,Darren Perry,32.0,FS,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,10.0,0.0,0.0,0.0,
9.0,Terry Allen,32.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,,0.0,
10.0,Aaron Brooks,24.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,2,0,-5,0,0.0,0,,,,0.0,
11.0,Mark Fields,28.0,RLB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,5.0,2.0,1.0,0.0,
12.0,Michael Hawthorne,23.0,DB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
13.0,Keith Mitchell,26.0,LLB,2,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,6,5.0,1.0,1.0,0.0,
14.0,Chris Oldham,32.0,DB,2,1,1.0,8.0,0.0,8.0,1,0,0,0,0,0,0.0,6,6.0,0.0,1.0,0.0,
15.0,Darrin Smith,30.0,MLB,2,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,8,6.0,2.0,2.0,0.0,
16.0,Fred Thomas,27.0,DB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,6.0,2.0,0.0,0.0,
17.0,Chris Canty,24.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
18.0,Martin Chase,26.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
19.0,Phil Clarke,23.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
20.0,Donta Jones,28.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
21.0,Rob Kelly,26.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
22.0,Fred McAfee,32.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
23.0,Brian Milne,27.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
24.0,Chad Morton,23.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
25.0,Willie Whitehead,27.0,DE,2,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,5,4.0,1.0,1.0,0.0,
26.0,Robert Wilson,26.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,
,Team Totals,,,2,2,3.0,64.0,0.0,52.0,10,2,4,4,-5,0,2.0,114,90.0,24.0,8.0,0.0,
