Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Jay Bellamy,32.0,SS,16,16,0,0,0,0,1.0,2,0,3,12,0,0.0,92.0,74.0,18.0,3.0,0,
2.0,Aaron Brooks,28.0,QB,16,16,0,0,0,0,0.0,0,13,6,-12,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Charles Grant,26.0,LDE,16,16,1,8,0,8,7.0,3,0,1,0,0,10.5,80.0,66.0,14.0,19.0,0,
4.0,Tebucky Jones,30.0,FS,16,16,1,55,0,55,4.0,1,0,1,0,0,0.0,102.0,79.0,23.0,0.0,0,
5.0,Victor Riley,30.0,RT,16,15,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Brian Young,27.0,RDT,15,15,0,0,0,0,0.0,0,0,1,0,0,2.5,59.0,40.0,19.0,7.0,0,
7.0,Deuce McAllister,26.0,RB,14,14,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Howard Green,25.0,LDT,14,12,0,0,0,0,0.0,1,0,0,0,0,0.0,28.0,18.0,10.0,1.0,0,
9.0,Darren Howard,28.0,RDE,13,12,0,0,0,0,1.0,4,0,3,0,0,11.0,46.0,36.0,10.0,10.0,0,
10.0,Ernie Conwell,32.0,TE,16,11,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
11.0,James Allen,25.0,LLB,16,10,0,0,0,0,1.0,2,0,2,1,0,0.0,51.0,35.0,16.0,0.0,0,
12.0,Fakhir Brown,27.0,RCB,16,10,2,0,0,0,11.0,2,0,3,2,0,0.0,56.0,55.0,1.0,1.0,0,
13.0,Mike McKenzie,28.0,LCB,10,10,5,19,0,14,11.0,0,0,0,0,0,0.0,33.0,31.0,2.0,0.0,0,
14.0,Donte' Stallworth,24.0,WR,16,10,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
