Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:06PM ET,boxscore,L,,0-1,,Seattle Seahawks,7.0,21.0,12.0,281.0,207.0,74.0,3.0,21.0,415.0,246.0,169.0,2.0,-14.36,-4.96,4.55
2,Sun,September 19,1:03PM ET,boxscore,W,,1-1,,San Francisco 49ers,30.0,27.0,17.0,302.0,256.0,46.0,1.0,22.0,370.0,190.0,180.0,3.0,4.68,0.06,1.05
3,Sun,September 26,1:02PM ET,boxscore,W,OT,2-1,@,St. Louis Rams,28.0,25.0,27.0,462.0,316.0,146.0,,25.0,403.0,325.0,78.0,1.0,9.53,-11.05,2.39
4,Sun,October 3,4:05PM ET,boxscore,L,,2-2,@,Arizona Cardinals,10.0,34.0,14.0,279.0,238.0,41.0,2.0,19.0,373.0,162.0,211.0,1.0,-22.01,-9.89,10.16
5,Sun,October 10,1:03PM ET,boxscore,L,,2-3,,Tampa Bay Buccaneers,17.0,20.0,16.0,251.0,106.0,145.0,2.0,16.0,319.0,238.0,81.0,1.0,-10.51,-1.06,7.2
6,Sun,October 17,8:36PM ET,boxscore,L,,2-4,,Minnesota Vikings,31.0,38.0,25.0,385.0,226.0,159.0,1.0,29.0,605.0,417.0,188.0,3.0,11.94,-28.43,5.28
7,Sun,October 24,4:15PM ET,boxscore,W,,3-4,@,Oakland Raiders,31.0,26.0,20.0,322.0,280.0,42.0,,20.0,432.0,350.0,82.0,2.0,4.43,-4.88,7.65
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 7,4:05PM ET,boxscore,L,,3-5,@,San Diego Chargers,17.0,43.0,18.0,220.0,165.0,55.0,2.0,28.0,402.0,250.0,152.0,,-2.46,-30.07,3.01
10,Sun,November 14,1:02PM ET,boxscore,W,,4-5,,Kansas City Chiefs,27.0,20.0,20.0,374.0,240.0,134.0,1.0,28.0,497.0,297.0,200.0,4.0,8.55,-4.48,1.34
11,Sun,November 21,1:03PM ET,boxscore,L,,4-6,,Denver Broncos,13.0,34.0,20.0,411.0,362.0,49.0,4.0,18.0,389.0,224.0,165.0,,-14.04,-8.51,-2.63
12,Sun,November 28,4:05PM ET,boxscore,L,,4-7,@,Atlanta Falcons,21.0,24.0,19.0,306.0,165.0,141.0,2.0,21.0,396.0,210.0,186.0,2.0,-0.51,-5.69,2.2
13,Sun,December 5,1:03PM ET,boxscore,L,,4-8,,Carolina Panthers,21.0,32.0,15.0,280.0,250.0,30.0,3.0,25.0,401.0,269.0,132.0,,-6.42,-9.19,5.06
14,Sun,December 12,1:05PM ET,boxscore,W,,5-8,@,Dallas Cowboys,27.0,13.0,21.0,344.0,239.0,105.0,2.0,18.0,269.0,148.0,121.0,4.0,-4.4,15.88,4.03
15,Sun,December 19,4:05PM ET,boxscore,W,,6-8,@,Tampa Bay Buccaneers,21.0,17.0,15.0,247.0,132.0,115.0,1.0,17.0,283.0,114.0,169.0,4.0,-4.83,8.1,1.58
16,Sun,December 26,1:03PM ET,boxscore,W,,7-8,,Atlanta Falcons,26.0,13.0,17.0,369.0,209.0,160.0,2.0,15.0,267.0,174.0,93.0,3.0,-5.21,11.48,6.91
17,Sun,January 2,1:02PM ET,boxscore,W,,8-8,@,Carolina Panthers,21.0,18.0,15.0,360.0,196.0,164.0,,21.0,320.0,274.0,46.0,3.0,0.98,9.31,-8.02
