Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Marques Colston,24.0,WR,16,14,0,0,0,0,,,,0.0,0.0,143,98,1202,12.3,11,64,61.5,45.0,6.1,75.1,68.5,8.4,98,12.3,1202,11,1,
2.0,Reggie Bush,22.0,RB,12,10,157,581,4,37,45.2,22.0,3.7,48.4,13.1,98,73,417,5.7,2,23,44.9,25.0,6.1,34.8,74.5,4.3,230,4.3,998,6,8,
3.0,David Patten,33.0,WR,16,5,2,-5,0,0,0.0,1.0,-2.5,-0.3,0.1,87,54,792,14.7,3,37,54.0,58.0,3.4,49.5,62.1,9.1,56,14.1,787,3,2,
4.0,Aaron Stecker,32.0,RB,16,6,115,448,5,28,47.8,26.0,3.9,28.0,7.2,43,36,211,5.9,0,12,51.2,26.0,2.3,13.2,83.7,4.9,151,4.4,659,5,1,
5.0,Devery Henderson,25.0,WR,16,9,2,20,0,1,100.0,15.0,10.0,1.3,0.1,43,20,409,20.5,3,16,46.5,54.0,1.3,25.6,46.5,9.5,22,19.5,429,3,0,
6.0,Pierre Thomas,23.0,RB,12,1,52,252,1,15,53.8,24.0,4.8,21.0,4.3,23,17,151,8.9,1,10,65.2,17.0,1.4,12.6,73.9,6.6,69,5.8,403,2,0,
7.0,Eric Johnson,28.0,TE,14,12,0,0,0,0,,,,0.0,0.0,63,48,378,7.9,2,19,60.3,22.0,3.4,27.0,76.2,6.0,48,7.9,378,2,1,
8.0,Billy Miller,30.0,TE,16,6,0,0,0,0,,,,0.0,0.0,38,27,328,12.1,2,20,68.4,57.0,1.7,20.5,71.1,8.6,27,12.1,328,2,0,
9.0,Lance Moore,24.0,WR,16,4,2,7,1,1,50.0,7.0,3.5,0.4,0.1,50,32,302,9.4,2,22,56.0,22.0,2.0,18.9,64.0,6.0,34,9.1,309,3,2,
10.0,Terrance Copper,25.0,WR,15,1,0,0,0,0,,,,0.0,0.0,21,15,126,8.4,2,7,61.9,21.0,1.0,8.4,71.4,6.0,15,8.4,126,2,0,
11.0,Deuce McAllister,29.0,RB,3,3,24,92,0,3,41.7,15.0,3.8,30.7,8.0,5,4,15,3.8,0,0,40.0,7.0,1.3,5.0,80.0,3.0,28,3.8,107,0,1,
12.0,Mike Karney,26.0,FB,16,9,11,17,2,4,45.5,10.0,1.5,1.1,0.7,19,13,78,6.0,0,3,52.6,11.0,0.8,4.9,68.4,4.1,24,4.0,95,2,0,
13.0,Drew Brees,28.0,QB,16,16,23,52,1,8,34.8,9.0,2.3,3.3,1.4,2,2,10,5.0,0,0,50.0,8.0,0.1,0.6,100.0,5.0,25,2.5,62,1,9,
14.0,Steve Weatherford,25.0,P,16,0,1,5,0,1,100.0,5.0,5.0,0.3,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,5.0,5,0,0,
15.0,John Owens,27.0,TE,8,0,0,0,0,0,,,,0.0,0.0,1,1,4,4.0,0,0,0.0,4.0,0.1,0.5,100.0,4.0,1,4.0,4,0,0,
16.0,Chris Barclay,24.0,RB,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
17.0,Ronnie Ghent,27.0,TE,8,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
18.0,Jamie Martin,37.0,QB,3,0,3,-3,0,0,0.0,-1.0,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,-1.0,-3,0,0,
,Team Totals,,,16,16,392,1466,14,98,46.2,26.0,3.7,91.6,24.5,638,440,4423,10.1,28,233,55.5,58.0,27.5,276.4,69.0,6.9,832,7.1,5889,42,25,
