Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Sedrick Ellis,26.0,RDE,2,2,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
2.0,Jabari Greer,29.0,LCB,2,2,2,17,0,17,5,0,0,0,0,0,0.0,8,5,3,0.0,0.0,0,
3.0,Roman Harper,29.0,SS,2,2,0,0,0,0,2,1,0,0,0,0,1.5,14,12,2,1.0,2.0,0,
4.0,Malcolm Jenkins,24.0,FS,2,2,0,0,0,0,1,0,0,0,0,0,1.0,13,12,1,1.0,1.0,0,
5.0,Tracy Porter,25.0,RCB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,11,11,0,0.0,0.0,0,
6.0,Scott Shanle,32.0,ROLB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,5,3,2,0.0,0.0,0,
7.0,Will Smith,30.0,LOLB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,2.0,0,
8.0,Jonathan Vilma,29.0,RILB,2,2,0,0,0,0,0,0,0,1,0,0,0.0,9,7,2,1.0,1.0,0,
9.0,Drew Brees,32.0,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
10.0,Marques Colston,28.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
11.0,Jo-Lonn Dunbar,26.0,LILB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,1.0,0.0,0,
12.0,Cameron Jordan,22.0,LDE,2,1,0,0,0,0,1,0,0,0,0,0,0.0,7,6,1,1.0,1.0,0,
13.0,Patrick Robinson,24.0,RCB,2,1,0,0,0,0,1,0,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
14.0,Darren Sproles,28.0,RB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
15.0,Isa Abdul-Quddus,22.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,1.0,0.0,0,
16.0,Jonathon Amaya,23.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
17.0,Jonathan Casillas,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
18.0,Jeff Charleston,28.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
19.0,Aubrayo Franklin,31.0,NT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
20.0,Korey Hall,28.0,FB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
21.0,Michael Higgins,24.0,TE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,,,0,
22.0,Ramon Humber,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
23.0,Tom Johnson,27.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
24.0,Courtney Roby,28.0,WR,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0,
25.0,Shaun Rogers,32.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,1.0,0,
26.0,Pierre Thomas,27.0,RB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
27.0,Martez Wilson,23.0,LB,1,0,0,0,0,0,0,1,0,0,0,0,1.5,3,2,1,0.0,1.0,0,
,Team Totals,,,2,2,2,17,0,17,11,2,5,1,0,0,4.0,101,86,15,6.0,9.0,0,
