Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Michael Thomas,24.0,WR,2,2,0,0,0,0,,,,0.0,0.0,22,15,216,14.4,2,12,63.6,46.0,7.5,108.0,68.2,9.8,15,14.4,216,2,0,
2.0,Ted Ginn Jr.,32.0,WR,2,2,1,11,0,1,100.0,11.0,11.0,5.5,0.5,17,12,187,15.6,1,6,70.6,80.0,6.0,93.5,70.6,11.0,13,15.2,198,1,0,
3.0,Alvin Kamara,22.0,RB,2,1,21,66,1,3,61.9,10.0,3.1,33.0,10.5,10,5,72,14.4,1,4,50.0,23.0,2.5,36.0,50.0,7.2,26,5.3,138,2,0,
4.0,Josh Hill,27.0,TE,2,1,0,0,0,0,,,,0.0,0.0,10,6,103,17.2,1,6,60.0,25.0,3.0,51.5,60.0,10.3,6,17.2,103,1,0,
5.0,Mark Ingram,28.0,RB,2,1,19,47,0,2,36.8,9.0,2.5,23.5,9.5,2,2,16,8.0,0,1,50.0,13.0,1.0,8.0,100.0,8.0,21,3.0,63,0,0,
6.0,Brandon Coleman,25.0,WR,1,1,0,0,0,0,,,,0.0,0.0,5,4,44,11.0,0,3,80.0,18.0,4.0,44.0,80.0,8.8,4,11.0,44,0,1,
7.0,Willie Snead,25.0,WR,2,0,0,0,0,0,,,,0.0,0.0,4,3,25,8.3,0,3,75.0,13.0,1.5,12.5,75.0,6.3,3,8.3,25,0,0,
8.0,Zach Line,27.0,RB,1,0,1,1,1,1,100.0,1.0,1.0,1.0,1.0,1,1,7,7.0,0,0,100.0,7.0,1.0,7.0,100.0,7.0,2,4.0,8,1,0,
9.0,Drew Brees,38.0,QB,2,2,3,0,0,1,33.3,2.0,0.0,0.0,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,0.0,0,0,1,
10.0,Tommylee Lewis,25.0,WR,1,0,1,-4,0,0,0.0,-4.0,-4.0,-4.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-4.0,-4,0,0,
,Team Totals,,,2,2,46,121,2,8,50.0,11.0,2.6,60.5,23.0,71,48,670,14.0,5,35,64.8,80.0,24.0,335.0,67.6,9.4,94,8.4,791,7,2,
