Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Taliese Fuaga,22.0,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
2.0,Carl Granderson,28.0,RDE,17,17,0,0,0,0,4,1,0,0,0,0,5.5,61,36,25,9,13,0,
3.0,Cameron Jordan,35.0,LDE,17,17,1,0,0,0,4,0,0,0,0,0,4.0,34,18,16,7,8,0,
4.0,Tyrann Mathieu,32.0,FS,17,17,3,29,0,23,7,2,0,1,0,0,0.0,62,47,15,1,0,0,
5.0,Demario Davis,35.0,MLB,16,16,1,0,0,0,7,0,0,0,0,0,2.0,136,69,67,5,2,0,
6.0,Alontae Taylor,26.0,LCB,17,15,0,0,0,0,16,2,0,0,0,0,4.0,89,61,28,7,6,0,
7.0,Alvin Kamara,29.0,RB,14,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
8.0,Will Harris,29.0,SS,13,13,1,7,0,7,5,0,0,0,0,0,0.0,74,54,20,3,0,0,
9.0,Nathan Shepherd,31.0,RDT,16,13,0,0,0,0,0,0,0,0,0,0,1.5,37,16,21,3,6,0,
10.0,Pete Werner,25.0,LLB,13,13,0,0,0,0,1,0,0,0,0,0,0.0,92,54,38,3,0,0,
11.0,Bryan Bresee,23.0,DT,17,11,0,0,0,0,3,1,0,0,0,0,7.5,25,17,8,7,14,0,
12.0,Derek Carr,33.0,QB,10,10,0,0,0,0,0,0,3,3,-5,0,0.0,0,0,0,0,0,0,
13.0,Khalen Saunders,28.0,LDT,13,10,1,37,0,37,3,0,0,0,0,0,2.0,43,18,25,3,5,0,
14.0,Kool-Aid McKinstry,22.0,RCB,15,9,0,0,0,0,6,0,0,0,0,0,0.0,42,32,10,2,0,0,
15.0,Willie Gay Jr.,26.0,RLB,15,8,0,0,0,0,3,1,0,2,4,0,2.0,28,19,9,2,1,0,
16.0,Taysom Hill,34.0,TE,8,8,0,0,0,0,0,1,1,0,0,0,0.0,1,1,0,1,0,0,
17.0,Chris Olave,24.0,WR,8,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18.0,Marquez Valdes-Scantling,30.0,WR,8,8,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,
19.0,Paulson Adebo,25.0,CB,7,7,3,68,0,47,10,0,0,0,0,0,0.0,52,43,9,1,1,0,
20.0,Marshon Lattimore,28.0,CB,7,7,0,0,0,0,2,0,0,0,0,0,0.0,30,22,8,0,0,0,
21.0,Adam Prentice,27.0,FB,17,7,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
22.0,Spencer Rattler,24.0,QB,7,6,0,0,0,0,0,0,5,1,-5,0,0.0,0,0,0,0,0,0,
23.0,Ugo Amadi,27.0,S,11,5,0,0,0,0,7,0,0,0,0,0,2.0,65,52,13,6,2,0,
24.0,Juwan Johnson,28.0,TE,17,5,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
25.0,Rashid Shaheed,26.0,WR,6,5,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
26.0,Jordan Howden,24.0,DB,17,4,2,-2,0,3,2,0,0,0,0,0,0.0,50,27,23,1,0,0,
27.0,Cedrick Wilson Jr.,29.0,WR,15,4,0,0,0,0,0,0,1,0,0,0,0.0,7,2,5,0,0,0,
28.0,Kevin Austin,24.0,WR,8,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
29.0,Dallin Holker,24.0,TE,12,2,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
30.0,Shemar Jean-Charles,26.0,DB,9,2,1,0,0,0,2,0,0,0,0,0,0.0,14,6,8,0,0,0,
31.0,Anfernee Orji,24.0,LB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,30,16,14,2,0,0,
32.0,Nephi Sewell,26.0,LB,7,1,0,0,0,0,0,0,0,0,0,0,1.0,11,7,4,2,1,0,
33.0,Jamaal Williams,29.0,RB,14,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
34.0,Johnathan Abram,28.0,S,3,0,1,30,0,30,2,0,0,0,0,0,0.0,18,10,8,0,0,0,
35.0,Khristian Boyd,24.0,DT,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
36.0,Millard Bradford,25.0,S,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
37.0,Jaylan Ford,23.0,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
38.0,Isaiah Foskey,24.0,DE,17,0,0,0,0,0,0,0,0,0,0,0,0.0,16,4,12,0,0,0,
39.0,J.T. Gray,28.0,DB,17,0,0,0,0,0,0,1,0,0,0,0,0.0,25,12,13,0,0,0,AP-2
40.0,Blake Grupe,26.0,K,17,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
41.0,D'Marco Jackson,26.0,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,14,8,6,0,0,0,
42.0,Tanoh Kpassagnon,30.0,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,
43.0,Jordan Mims,25.0,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
44.0,Rico Payton,25.0,CB,16,0,0,0,0,0,1,0,0,0,0,0,0.0,11,6,5,0,0,0,
45.0,John Ridgeway,25.0,DT,13,0,0,0,0,0,1,0,0,0,0,0,0.0,15,8,7,1,0,0,
46.0,Isaiah Stalbird,24.0,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
47.0,Payton Turner,25.0,DE,16,0,0,0,0,0,4,2,0,0,0,0,2.0,21,10,11,3,3,0,
48.0,Kendal Vickers,29.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
49.0,Zach Wood,31.0,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
50.0,Chase Young,25.0,DE,17,0,0,0,0,0,3,1,0,0,0,0,5.5,31,21,10,8,21,0,
,Team Totals,,,17,17,14,169,0,47,93,12,16,10,-5,0,39.0,1166,716,450,77,84,0,
