Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Jessie Armstead,30.0,RLB,16,16,1,-2,0,-2,8.0,1,0,1,0,0,5.0,102.0,76.0,26.0,12.0,0,"PB,AP-2"
2.0,Lomas Brown,37.0,LT,16,16,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Kerry Collins,28.0,QB,16,16,0,0,0,0,0.0,0,7,1,-13,0,0.0,0.0,0.0,0.0,0.0,0,AP CPoY-2
4.0,Keith Hamilton,29.0,RDT,16,16,0,0,0,0,1.0,0,0,0,0,0,10.0,57.0,42.0,15.0,11.0,0,"AP-2,AP DPoY-4"
5.0,Cedric Jones,26.0,RDE,16,16,0,0,0,0,5.0,0,0,0,0,0,3.5,53.0,40.0,13.0,7.0,0,
6.0,Luke Petitgout,24.0,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
7.0,Michael Strahan,29.0,LDE,16,16,0,0,0,0,4.0,0,0,4,0,0,9.5,66.0,51.0,15.0,15.0,0,
8.0,Dave Thomas,32.0,LCB,16,16,1,0,0,0,9.0,1,0,0,0,0,0.0,72.0,66.0,6.0,0.0,0,
9.0,Shaun Williams,24.0,FS,16,16,3,52,0,40,12.0,0,0,1,0,0,0.0,94.0,74.0,20.0,4.0,0,
10.0,Micheal Barrow,30.0,MLB,15,15,1,7,0,7,3.0,0,0,1,0,0,3.5,93.0,71.0,22.0,12.0,0,
11.0,Sam Garnes,26.0,SS,15,15,1,4,0,4,6.0,1,0,0,0,0,1.0,64.0,52.0,12.0,0.0,0,
12.0,Christian Peter,28.0,LDT,16,15,0,0,0,0,0.0,0,0,0,0,0,1.0,40.0,26.0,14.0,2.0,0,
13.0,Ryan Phillips,26.0,LLB,16,15,2,22,0,12,3.0,1,0,0,0,0,1.5,58.0,42.0,16.0,3.0,0,
14.0,Jason Sehorn,29.0,RCB,14,14,2,32,0,32,17.0,1,0,1,8,0,0.0,73.0,60.0,13.0,3.0,0,
15.0,Amani Toomer,26.0,WR,16,14,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
16.0,Tiki Barber,25.0,RB,16,12,0,0,0,0,0.0,0,9,5,0,0,0.0,0.0,0.0,0.0,0.0,0,
17.0,Greg Comella,25.0,FB,16,12,0,0,0,0,0.0,0,2,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
18.0,Dan Campbell,24.0,TE,16,5,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
19.0,Pete Mitchell,29.0,TE,14,5,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Ron Dayne,22.0,RB,16,4,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
21.0,Joe Jurevicius,26.0,WR,14,3,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
22.0,Emmanuel McDaniel,28.0,DB,16,3,6,30,0,17,13.0,0,0,1,0,0,1.0,47.0,43.0,4.0,2.0,0,
23.0,Jason Whittle,25.0,LS,16,2,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
24.0,Pete Monty,26.0,LB,16,1,0,0,0,0,0.0,1,0,1,0,0,2.0,35.0,30.0,5.0,6.0,0,
25.0,Reggie Stephens,25.0,DB,15,1,3,4,0,4,4.0,0,0,0,0,0,0.0,27.0,23.0,4.0,1.0,0,
26.0,Lyle West,24.0,DB,16,1,0,0,0,0,0.0,0,0,1,0,0,0.0,26.0,22.0,4.0,0.0,0,
27.0,Brad Daluiso,33.0,K,14,0,0,0,0,0,1.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
28.0,Thabiti Davis,25.0,WR,13,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,8.0,1.0,0.0,0,
29.0,Ron Dixon,24.0,WR,12,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
30.0,Jack Golden,23.0,LB,16,0,0,0,0,0,0.0,0,0,1,0,0,0.0,5.0,2.0,3.0,0.0,0,
31.0,Cornelius Griffin,24.0,DT,15,0,0,0,0,0,5.0,0,0,0,0,0,5.0,34.0,27.0,7.0,11.0,0,
