Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Brent Alexander,34.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,5.0,3.0,0.0,0.0,
2.0,Will Allen,27.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,1.0,0.0,
3.0,Kendrick Clancy,27.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,0.0,
4.0,Nick Greisen,26.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,4.0,3.0,0.0,0.0,
5.0,Alonzo Jackson,25.0,LB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,9,5.0,4.0,1.0,0.0,
6.0,William Joseph,26.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
7.0,Kevin Lewis,27.0,LB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,6.0,4.0,2.0,0.0,
8.0,Eli Manning,24.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
9.0,Michael Strahan,34.0,LDE,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2.0,6,4.0,2.0,3.0,0.0,
10.0,Osi Umenyiora,24.0,RDE,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,6,6.0,0.0,0.0,0.0,
11.0,Corey Webster,23.0,DB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,7.0,0.0,0.0,0.0,
12.0,Gibril Wilson,24.0,SS,1,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0.0,15,11.0,4.0,1.0,0.0,
13.0,Kenderick Allen,27.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,,
14.0,Terrell Buckley,34.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
15.0,James Butler,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
16.0,Jay Foreman,29.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,,
17.0,Brandon Jacobs,23.0,RB,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
18.0,Marcus Lawrence,23.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
19.0,Justin Tuck,22.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,2,1,2,0,0,0,4.0,91,62.0,29.0,8.0,0.0,
