Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,James Butler,26.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
2.0,Barry Cofield,24.0,LDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
3.0,Michael Johnson,24.0,FS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,2,0,0,
4.0,Kenny Phillips,22.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
5.0,Antonio Pierce,30.0,MLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,10,7,3,0,0,0,
6.0,Fred Robbins,31.0,RDT,1,1,1,17,0,17,1,0,0,0,0,0,0.0,0,0,0,0,1,0,
7.0,Aaron Ross,26.0,LCB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,1,0,0,
8.0,Steve Smith,23.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
9.0,Terrell Thomas,23.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,1,0,
10.0,Justin Tuck,25.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,1,1,0,
11.0,Corey Webster,26.0,RCB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,5,0,0,0,0,
12.0,Jay Alford,25.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,1,0,0,
13.0,Chase Blackburn,25.0,RLB,1,0,0,0,0,0,1,0,0,0,0,0,0.0,6,4,2,0,0,0,
14.0,Danny Clark,31.0,LLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
15.0,Zak DeOssie,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
16.0,Kevin Dockery,24.0,DB,1,0,1,0,0,0,1,0,0,0,0,0,0.0,4,3,1,1,0,0,
17.0,Bryan Kehl,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
18.0,R.W. McQuarters,32.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
,Team Totals,,,1,1,2,17,0,17,4,0,1,0,0,0,0.0,68,48,20,6,3,0,
