Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Prince Amukamara,24.0,RCB,16,16,1,-4,0,-4,13,2,0,0,0,0,0.0,85,76,9,4.0,0.0,0,
2.0,Eli Manning,32.0,QB,16,16,0,0,0,0,0,0,7,1,-6,0,0.0,0,0,0,,,0,
3.0,Antrel Rolle,31.0,SS,16,16,6,23,0,25,12,1,0,1,10,0,2.0,98,80,18,4.0,2.0,0,"PB,AP-2"
4.0,Cullen Jenkins,32.0,RDT,16,15,0,0,0,0,0,2,0,2,0,0,5.0,31,25,6,7.0,12.0,0,
5.0,Linval Joseph,25.0,LDT,15,15,0,0,0,0,0,1,0,1,0,0,3.0,59,34,25,8.0,8.0,0,
6.0,Justin Tuck,30.0,LDE,16,15,1,-2,0,-2,3,2,0,0,0,0,11.0,63,41,22,15.0,23.0,0,
7.0,Victor Cruz,27.0,WR,14,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
8.0,Jon Beason,28.0,MLB,12,11,1,9,0,9,1,0,0,0,0,0,0.0,93,65,28,1.0,1.0,0,
9.0,David Diehl,33.0,RG,11,11,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
10.0,Will Hill,23.0,FS,12,10,2,38,1,38,2,2,0,1,8,0,0.0,77,60,17,1.0,1.0,0,
11.0,Mathias Kiwanuka,30.0,RDE,16,10,0,0,0,0,2,2,0,0,0,0,6.0,41,25,16,8.0,20.0,0,
12.0,Trumaine McBride,28.0,LCB,15,10,2,17,0,17,15,1,1,0,0,0,0.0,37,32,5,1.0,0.0,0,
13.0,Spencer Paysinger,25.0,RLB,16,10,0,0,0,0,1,0,0,1,0,0,1.0,74,65,9,0.0,2.0,0,
14.0,Ryan Mundy,28.0,FS,16,9,1,91,0,91,2,0,0,1,0,0,1.0,77,50,27,4.0,1.0,0,
15.0,Andre Brown,27.0,RB,8,8,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,
16.0,Keith Rivers,27.0,LLB,16,8,0,0,0,0,1,0,0,1,0,0,1.0,45,23,22,2.0,1.0,0,
17.0,Jacquian Williams,25.0,LLB,16,8,0,0,0,0,8,0,0,2,5,0,0.0,58,39,19,5.0,1.0,0,
18.0,Terrell Thomas,28.0,DB,16,7,1,65,0,65,7,1,0,0,0,0,1.0,67,58,9,1.0,1.0,0,
19.0,Jason Pierre-Paul,24.0,RDE,11,6,1,24,1,24,4,0,0,0,0,0,2.0,27,20,7,6.0,6.0,0,
20.0,David Wilson,22.0,RB,5,4,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
21.0,Jerrel Jernigan,24.0,WR,15,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
22.0,Rueben Randle,22.0,WR,16,3,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,
23.0,Mark Herzlich,26.0,LB,16,2,0,0,0,0,1,0,0,0,0,0,0.0,42,32,10,1.0,0.0,0,
24.0,Shaun Rogers,34.0,DT,7,2,0,0,0,0,0,0,0,0,0,0,0.0,9,7,2,1.0,6.0,0,
25.0,Aaron Ross,31.0,DB,4,2,1,9,0,9,5,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
26.0,Corey Webster,31.0,DB,4,2,0,0,0,0,1,0,0,0,0,0,0.0,13,8,5,0.0,0.0,0,
27.0,Michael Cox,25.0,RB,14,1,0,0,0,0,0,0,0,1,0,0,0.0,3,3,0,0.0,0.0,0,
28.0,Larry Donnell,25.0,TE,16,1,0,0,0,0,0,0,0,1,0,0,0.0,4,1,3,0.0,0.0,0,
29.0,Peyton Hillis,27.0,RB,7,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0,
30.0,Jayron Hosley,23.0,DB,11,1,0,0,0,0,2,0,0,0,0,0,0.0,9,6,3,0.0,0.0,0,
31.0,Brandon Jacobs,31.0,RB,7,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
32.0,Mike Patterson,30.0,DT,16,1,0,0,0,0,0,0,0,0,0,0,0.0,23,18,5,2.0,0.0,0,
33.0,Allen Bradford,25.0,RB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
34.0,Dan Connor,28.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
35.0,Zak DeOssie,29.0,LB,16,0,0,0,0,0,0,0,1,1,-35,0,0.0,10,8,2,0.0,0.0,0,
36.0,Marcus Dowtin,24.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
37.0,Johnathan Hankins,21.0,DT,11,0,0,0,0,0,0,0,0,0,0,0,0.0,16,9,7,2.0,2.0,0,
38.0,Charles James,23.0,DB,12,0,0,0,0,0,0,0,1,0,0,0,0.0,4,2,2,0.0,0.0,0,
39.0,Markus Kuhn,27.0,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
40.0,Damontre Moore,21.0,DE,15,0,0,0,0,0,1,1,0,0,0,0,0.0,11,9,2,0.0,3.0,0,
41.0,Louis Murphy,26.0,WR,14,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
42.0,Curtis Painter,28.0,QB,3,0,0,0,0,0,0,0,2,2,-6,0,0.0,0,0,0,0.0,0.0,0,
43.0,Julian Talley,24.0,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
