Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Saquon Barkley,25.0,RB,16,16,295,1312,10,62,47.5,68.0,4.4,82.0,18.4,76,57,338,5.9,0,10,38.2,41.0,3.6,21.1,75.0,4.4,352,4.7,1650,10,1,"PB,AP CPoY-3"
2.0,Darius Slayton,25.0,WR,16,11,0,0,0,0,,,,0.0,0.0,71,46,724,15.7,2,30,57.7,55.0,2.9,45.3,64.8,10.2,46,15.7,724,2,2,
3.0,Daniel Jones,25.0,QB,16,16,120,708,7,57,59.2,25.0,5.9,44.3,7.5,0,0,0,,0,0,,,0.0,0.0,,,120,5.9,708,7,6,AP CPoY-11
4.0,Richie James,27.0,WR,17,4,2,6,0,0,50.0,4.0,3.0,0.4,0.1,70,57,569,10.0,4,29,61.4,33.0,3.4,33.5,81.4,8.1,59,9.7,575,4,3,
5.0,Isaiah Hodgins,24.0,WR,8,5,0,0,0,0,,,,0.0,0.0,42,33,351,10.6,4,22,66.7,29.0,4.1,43.9,78.6,8.4,33,10.6,351,4,1,
6.0,Matt Breida,27.0,RB,17,1,54,220,1,13,50.0,18.0,4.1,12.9,3.2,25,20,118,5.9,0,5,36.0,16.0,1.2,6.9,80.0,4.7,74,4.6,338,1,0,
7.0,Daniel Bellinger,22.0,TE,12,11,1,2,1,1,100.0,2.0,2.0,0.2,0.1,35,30,268,8.9,2,14,68.6,24.0,2.5,22.3,85.7,7.7,31,8.7,270,3,1,
8.0,Wan'Dale Robinson,21.0,WR,6,3,2,-1,0,0,50.0,4.0,-0.5,-0.2,0.3,31,23,227,9.9,1,13,61.3,19.0,3.8,37.8,74.2,7.3,25,9.0,226,1,0,
9.0,Gary Brightwell,23.0,RB,17,0,31,141,1,9,41.9,25.0,4.5,8.3,1.8,8,5,39,7.8,0,4,50.0,12.0,0.3,2.3,62.5,4.9,36,5.0,180,1,0,
10.0,Sterling Shepard,29.0,WR,3,2,0,0,0,0,,,,0.0,0.0,24,13,154,11.8,1,4,29.2,65.0,4.3,51.3,54.2,6.4,13,11.8,154,1,0,
11.0,Tanner Hudson,28.0,TE,11,0,0,0,0,0,,,,0.0,0.0,15,10,132,13.2,0,8,60.0,27.0,0.9,12.0,66.7,8.8,10,13.2,132,0,0,
12.0,Lawrence Cager,25.0,WR,6,3,0,0,0,0,,,,0.0,0.0,18,13,118,9.1,1,8,55.6,20.0,2.2,19.7,72.2,6.6,13,9.1,118,1,0,
13.0,David Sills V,26.0,WR,9,5,0,0,0,0,,,,0.0,0.0,17,11,106,9.6,0,7,52.9,24.0,1.2,11.8,64.7,6.2,11,9.6,106,0,0,
14.0,Marcus Johnson,28.0,WR,14,7,0,0,0,0,,,,0.0,0.0,22,9,99,11.0,0,6,36.4,18.0,0.6,7.1,40.9,4.5,9,11.0,99,0,0,
15.0,Kenny Golladay,29.0,WR,12,4,0,0,0,0,,,,0.0,0.0,17,6,81,13.5,1,4,35.3,25.0,0.5,6.8,35.3,4.8,6,13.5,81,1,0,
16.0,Tyrod Taylor,33.0,QB,3,0,5,70,0,5,100.0,32.0,14.0,23.3,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,14.0,70,0,2,
17.0,Chris Myarick,27.0,FB,16,8,0,0,0,0,,,,0.0,0.0,8,7,65,9.3,1,5,75.0,23.0,0.4,4.1,87.5,8.1,7,9.3,65,1,0,
18.0,Nick Vannett,29.0,TE,6,3,0,0,0,0,,,,0.0,0.0,7,4,42,10.5,0,1,42.9,15.0,0.7,7.0,57.1,6.0,4,10.5,42,0,0,
19.0,Davis Webb,27.0,QB,1,1,6,41,1,2,83.3,14.0,6.8,41.0,6.0,0,0,0,,0,0,,,0.0,0.0,,,6,6.8,41,1,0,
20.0,Kadarius Toney,23.0,WR,2,1,2,23,0,1,100.0,19.0,11.5,11.5,1.0,3,2,0,0.0,0,0,0.0,,1.0,0.0,66.7,0.0,4,5.8,23,0,0,
21.0,Jamie Gillan,25.0,P,17,0,2,-3,0,0,0.0,,-1.5,-0.2,0.1,0,0,0,,0,0,,,0.0,0.0,,,2,-1.5,-3,0,1,
,Team Totals,,,17,17,520,2519,21,150,51.2,68.0,4.8,148.2,30.6,489,346,3431,9.9,17,170,52.1,65.0,20.4,201.8,70.8,7.0,866,6.9,5950,38,17,
