Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Saquon Barkley,25.0,RB,2,2,18,114,2,4,50.0,39.0,6.3,57.0,9.0,9,7,77,11.0,0,5,55.6,24.0,3.5,38.5,77.8,8.6,25,7.6,191,2,0,
2.0,Isaiah Hodgins,24.0,WR,2,2,0,0,0,0,,,,0.0,0.0,11,9,108,12.0,1,4,72.7,32.0,4.5,54.0,81.8,9.8,9,12.0,108,1,0,
3.0,Daniel Jones,25.0,QB,2,2,23,102,0,9,60.9,15.0,4.4,51.0,11.5,0,0,0,,0,0,,,0.0,0.0,,,23,4.4,102,0,1,
4.0,Darius Slayton,25.0,WR,2,2,1,3,0,0,0.0,3.0,3.0,1.5,0.5,13,5,92,18.4,0,4,38.5,47.0,2.5,46.0,38.5,7.1,6,15.8,95,0,0,
5.0,Richie James,27.0,WR,2,2,0,0,0,0,,,,0.0,0.0,16,11,82,7.5,0,5,50.0,13.0,5.5,41.0,68.8,5.1,11,7.5,82,0,0,
6.0,Matt Breida,27.0,RB,2,0,7,31,1,2,71.4,8.0,4.4,15.5,3.5,1,1,19,19.0,0,1,100.0,19.0,0.5,9.5,100.0,19.0,8,6.3,50,1,0,
7.0,Daniel Bellinger,22.0,TE,2,2,0,0,0,0,,,,0.0,0.0,5,3,21,7.0,1,2,40.0,9.0,1.5,10.5,60.0,4.2,3,7.0,21,1,0,
8.0,Lawrence Cager,25.0,WR,2,0,0,0,0,0,,,,0.0,0.0,3,2,20,10.0,0,1,66.7,16.0,1.0,10.0,66.7,6.7,2,10.0,20,0,0,
9.0,Marcus Johnson,28.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,17,17.0,0,1,100.0,17.0,1.0,17.0,100.0,17.0,1,17.0,17,0,0,
10.0,Gary Brightwell,23.0,RB,1,0,1,10,0,1,100.0,10.0,10.0,10.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,10.0,10,0,0,
,Team Totals,,,2,2,50,260,3,16,58.0,39.0,5.2,130.0,25.0,59,39,436,11.2,2,23,54.2,47.0,19.5,218.0,66.1,7.4,89,7.8,696,5,1,
