Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Laveranues Coles,24.0,WR,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
2.0,Jason Fabini,27.0,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,James Farrior,26.0,RLB,16,16,2,84,0,47,9.0,3,0,0,0,0,1.0,145.0,109.0,36.0,5.0,0,
4.0,Victor Green,32.0,SS,16,16,3,76,1,63,4.0,1,0,1,0,0,0.0,96.0,61.0,35.0,3.0,0,
5.0,Marvin Jones,29.0,MLB,16,16,3,27,0,18,5.0,2,1,1,0,0,1.0,137.0,97.0,40.0,5.0,0,
6.0,Mo Lewis,32.0,LLB,16,16,1,17,0,17,2.0,2,0,2,15,1,3.0,108.0,77.0,31.0,8.0,0,
7.0,Curtis Martin,28.0,RB,16,16,0,0,0,0,0.0,0,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
8.0,Kevin Mawae,30.0,C,16,16,0,0,0,0,,0,1,0,-5,0,0.0,,,,,0,"PB,AP-1"
9.0,Vinny Testaverde,38.0,QB,16,16,0,0,0,0,0.0,0,12,5,-28,0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Ryan Young,25.0,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
11.0,John Abraham,23.0,RDE,16,15,0,0,0,0,0.0,6,0,3,7,1,13.0,67.0,57.0,10.0,14.0,0,"PB,AP-1"
12.0,Richie Anderson,30.0,FB,16,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
13.0,Anthony Becht,24.0,TE,16,15,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
14.0,Marcus Coleman,27.0,RCB,16,15,2,41,0,36,12.0,1,0,1,0,0,0.0,71.0,60.0,11.0,2.0,0,
15.0,Shaun Ellis,24.0,LDE,16,15,0,0,0,0,2.0,1,0,0,0,0,5.0,46.0,33.0,13.0,7.0,0,
16.0,Steve Martin,27.0,RDT,16,15,0,0,0,0,5.0,0,0,2,0,0,2.5,57.0,40.0,17.0,6.0,0,
17.0,Damien Robinson,28.0,FS,14,14,2,58,0,30,5.0,0,1,1,4,0,0.0,56.0,38.0,18.0,2.0,0,
