Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Donnie Abraham,31.0,LCB,2,2,0.0,0.0,0.0,0.0,2,0,0,1,0,0,0.0,6,6,0,2,0.0,
2.0,David Barrett,27.0,RCB,2,2,1.0,24.0,0.0,24.0,0,0,0,0,0,0,0.0,9,8,1,0,0.0,
3.0,Eric Barton,27.0,RLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,22,18,4,2,0.0,
4.0,Mark Brown,24.0,LLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0.0,
5.0,Erik Coleman,22.0,FS,2,2,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0.0,17,15,2,0,0.0,
6.0,Shaun Ellis,27.0,LDE,2,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,11,11,0,6,0.0,
7.0,Jason Ferguson,30.0,RDT,2,2,0.0,0.0,0.0,0.0,0,2,0,0,0,0,2.0,8,7,1,0,0.0,
8.0,Dewayne Robertson,23.0,LDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,6,1,2,0.0,
9.0,Bryan Thomas,25.0,RDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,6,1,2,0.0,
10.0,Reggie Tongue,31.0,SS,2,2,2.0,108.0,1.0,86.0,2,0,0,0,0,0,0.0,5,4,1,0,0.0,
11.0,Jonathan Vilma,22.0,MLB,2,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,19,14,5,1,0.0,
12.0,Oliver Celestin,23.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,5,5,0,0,,
13.0,Jerricho Cotchery,22.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,
14.0,Jason Glenn,25.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,3,3,0,0,,
15.0,Alan Harper,25.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,0,1,0,,
16.0,Victor Hobson,24.0,LLB,1,0,,,,,0,0,0,0,0,0,0.0,2,1,1,0,,
17.0,Trevor Johnson,23.0,DE,2,0,,,,,0,0,0,0,0,0,0.0,3,3,0,0,,
18.0,Darrell McClover,23.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
19.0,Jon McGraw,25.0,DB,2,0,,,,,1,1,0,0,0,0,0.0,4,4,0,0,,
20.0,James Reed,27.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,0,1,0,,
21.0,Derrick Strait,24.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,6,6,0,0,,
22.0,Kenyatta Wright,26.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,3,3,0,0,,
,Team Totals,,,2,2,3.0,132.0,1.0,86.0,11,3,0,2,1,0,3.0,143,124,19,15,0.0,
