Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Curtis Martin,32.0,RB,12,12,220,735,5,37,40.0,49.0,3.3,61.3,18.3,30,24,118,4.9,0,3,36.7,14.0,2.0,9.8,80.0,3.9,244,3.5,853,5,2,
2.0,Laveranues Coles,28.0,WR,16,16,0,0,0,0,,,,0.0,0.0,132,73,845,11.6,5,53,47.7,43.0,4.6,52.8,55.3,6.4,73,11.6,845,5,1,
3.0,Justin McCareins,27.0,WR,16,16,1,8,0,0,100.0,8.0,8.0,0.5,0.1,104,43,713,16.6,2,33,39.4,45.0,2.7,44.6,41.3,6.9,44,16.4,721,2,0,
4.0,Cedric Houston,23.0,RB,12,4,81,302,2,15,42.0,17.0,3.7,25.2,6.8,10,8,66,8.3,0,2,60.0,16.0,0.7,5.5,80.0,6.6,89,4.1,368,2,1,
5.0,Doug Jolley,26.0,TE,16,7,0,0,0,0,,,,0.0,0.0,50,29,324,11.2,1,17,42.0,60.0,1.8,20.3,58.0,6.5,29,11.2,324,1,1,
6.0,Chris Baker,26.0,TE,8,8,0,0,0,0,,,,0.0,0.0,26,18,269,14.9,1,11,53.8,47.0,2.3,33.6,69.2,10.3,18,14.9,269,1,1,
7.0,Jerricho Cotchery,23.0,WR,16,1,1,4,0,0,0.0,4.0,4.0,0.3,0.1,32,19,251,13.2,0,13,46.9,45.0,1.2,15.7,59.4,7.8,20,12.8,255,0,2,
8.0,Jerald Sowell,31.0,FB,16,14,1,1,1,1,100.0,1.0,1.0,0.1,0.1,38,28,155,5.5,2,7,39.5,28.0,1.8,9.7,73.7,4.1,29,5.4,156,3,1,
9.0,Wayne Chrebet,32.0,WR,8,0,0,0,0,0,,,,0.0,0.0,23,15,153,10.2,0,7,47.8,20.0,1.9,19.1,65.2,6.7,15,10.2,153,0,0,
10.0,Brooks Bollinger,26.0,QB,11,9,35,135,0,13,45.7,15.0,3.9,12.3,3.2,0,0,0,,0,0,,,0.0,0.0,,,35,3.9,135,0,3,
11.0,B.J. Askew,25.0,FB,10,1,13,59,0,3,46.2,14.0,4.5,5.9,1.3,1,1,11,11.0,0,1,100.0,11.0,0.1,1.1,100.0,11.0,14,5.0,70,0,0,
12.0,Derrick Blaylock,26.0,RB,7,1,17,53,0,3,41.2,11.0,3.1,7.6,2.4,4,3,17,5.7,0,0,0.0,10.0,0.4,2.4,75.0,4.3,20,3.5,70,0,0,
13.0,Joel Dreessen,23.0,TE,14,0,0,0,0,0,,,,0.0,0.0,10,5,41,8.2,0,1,50.0,17.0,0.4,2.9,50.0,4.1,5,8.2,41,0,0,
14.0,Chad Pennington,29.0,QB,3,3,6,27,0,2,50.0,14.0,4.5,9.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,6,4.5,27,0,8,
15.0,Dante Ridgeway,21.0,WR,8,0,0,0,0,0,,,,0.0,0.0,3,2,26,13.0,0,0,0.0,17.0,0.3,3.3,66.7,8.7,2,13.0,26,0,0,
16.0,Vinny Testaverde,42.0,QB,6,4,7,4,2,2,28.6,2.0,0.6,0.7,1.2,0,0,0,,0,0,,,0.0,0.0,,,7,0.6,4,2,8,
17.0,Jay Fiedler,34.0,QB,2,0,1,0,0,0,0.0,,0.0,0.0,0.5,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,1,
18.0,Ben Graham,32.0,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,1,
,Team Totals,,,16,16,384,1328,10,76,41.1,49.0,3.5,83.0,24.0,463,268,2989,11.2,11,148,43.8,60.0,16.8,186.8,57.9,6.5,652,6.6,4317,21,30,
