Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,David Barrett,29.0,DB,1,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,5,4.0,1.0,0.0,0.0,0.0,
2.0,Eric Barton,29.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,8,2.0,6.0,0.0,1.0,0.0,
3.0,Erik Coleman,24.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,4.0,6.0,0.0,0.0,0.0,
4.0,Andre Dyson,27.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,0.0,
5.0,Shaun Ellis,29.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,5.0,2.0,0.0,0.0,0.0,
6.0,Victor Hobson,26.0,RLB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,2.0,1.0,0.0,1.0,0.0,
7.0,Chad Pennington,30.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,,0.0,
8.0,Hank Poteat,29.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,6,5.0,1.0,0.0,0.0,0.0,
9.0,Kerry Rhodes,24.0,FS,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,5.0,1.0,1.0,1.0,0.0,
10.0,Dewayne Robertson,25.0,LDT,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,8,4.0,4.0,0.0,0.0,0.0,
11.0,Bryan Thomas,27.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,5,3.0,2.0,1.0,3.0,0.0,
12.0,Jonathan Vilma,24.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,4.0,2.0,0.0,0.0,0.0,
13.0,Matt Chatham,29.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,,
14.0,Drew Coleman,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,0.0,,
15.0,Bobby Hamilton,35.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,0.0,,
16.0,Brad Kassell,26.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,1.0,,
17.0,Justin Miller,22.0,DB,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,0.0,
18.0,Rashad Moore,27.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,,
19.0,Eric Smith,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,,
20.0,Cody Spencer,25.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,0.0,,
21.0,Kimo von Oelhoffen,35.0,RDT,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,,
22.0,Rashad Washington,26.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,5,1,1,1,0,0,1.0,93,59.0,34.0,2.0,7.0,0.0,
