Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Demario Davis,25.0,LILB,16,16,0,0,0,0,5,0,0,2,0,0,3.5,116,79,37,5.0,5.0,0,
2.0,David Harris,30.0,RILB,16,16,0,0,0,0,3,2,0,0,0,0,5.5,123,71,52,6.0,6.0,0,
3.0,Damon Harrison,26.0,NT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,55,30,25,0.0,2.0,0,
4.0,Calvin Pace,34.0,ROLB,16,16,0,0,0,0,3,0,0,0,0,0,5.0,40,27,13,8.0,8.0,0,
5.0,Sheldon Richardson,24.0,RDE,16,16,0,0,0,0,1,1,0,1,0,0,8.0,67,42,25,11.0,21.0,1,PB
6.0,Quinton Coples,24.0,LOLB,16,15,0,0,0,0,0,1,0,0,0,0,6.5,37,26,11,10.0,19.0,0,
7.0,Nick Mangold,30.0,C,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
8.0,Jeff Cumberland,27.0,TE,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
9.0,Dawan Landry,32.0,FS,16,14,0,0,0,0,1,0,0,0,0,0,1.5,107,67,40,1.0,3.0,0,
10.0,Geno Smith,24.0,QB,14,13,0,0,0,0,0,0,8,5,-21,0,0.0,0,0,0,0.0,0.0,0,
11.0,Muhammad Wilkerson,25.0,LDE,13,13,0,0,0,0,5,1,0,0,0,0,6.0,56,31,25,13.0,21.0,0,
12.0,Darrin Walls,26.0,RCB,14,12,2,25,0,25,12,0,0,0,0,0,0.0,40,40,0,1.0,0.0,0,
13.0,Calvin Pryor,22.0,SS/FS,16,11,0,0,0,0,2,0,0,0,0,0,0.5,61,36,25,1.0,1.0,0,
14.0,Chris Ivory,26.0,RB,16,10,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,,,0,
15.0,Antonio Allen,26.0,LCB,15,8,0,0,0,0,6,1,0,0,0,0,0.5,41,36,5,1.0,1.0,0,
16.0,Percy Harvin,26.0,WR,8,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
17.0,Marcus Williams,23.0,LCB,8,8,1,1,0,1,7,0,0,0,0,0,0.0,36,29,7,1.0,0.0,0,
18.0,Jeremy Kerley,26.0,WR,16,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
19.0,Chris Johnson,29.0,RB,16,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
20.0,Jaiquawn Jarrett,25.0,SS,14,5,2,10,0,9,2,1,0,1,2,0,1.5,40,27,13,2.0,3.0,0,
21.0,David Nelson,28.0,WR,6,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
22.0,Phillip Adams,26.0,DB,12,4,1,0,0,0,3,0,0,1,-1,0,0.0,24,21,3,0.0,0.0,0,
23.0,Jace Amaro,22.0,TE,14,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
24.0,Jason Babin,34.0,LB,16,4,0,0,0,0,0,0,0,0,0,0,2.0,25,14,11,3.0,10.0,0,
25.0,Zach Sudfeld,25.0,TE,16,3,0,0,0,0,0,0,0,0,0,0,0.0,15,10,5,0.0,0.0,0,
26.0,Michael Vick,34.0,QB,10,3,0,0,0,0,0,0,5,2,-5,0,0.0,0,0,0,0.0,0.0,0,
27.0,Dee Milliner,23.0,DB,3,2,0,0,0,0,2,0,0,0,0,0,0.0,6,5,1,0.0,0.0,0,
28.0,Greg Salas,26.0,WR,10,2,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
29.0,Bilal Powell,26.0,RB,15,1,0,0,0,0,0,1,0,0,0,0,0.0,5,3,2,0.0,0.0,0,
30.0,Antwan Barnes,30.0,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0.0,1.0,0,
31.0,T.J. Barnes,24.0,DT,6,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,1.0,0.0,0,
32.0,Nick Bellore,25.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,15,11,4,0.0,0.0,0,
33.0,Josh Bush,25.0,DB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
